,gender,age,emotion,base,rewriting,semantic
1996,男性,18-39,所有情绪,更好还是更糟,,18
1997,女性,40-69,所有情绪,更好还是更糟,,18
1999,男性,40-69,所有情绪,更好还是更糟,,18
2044,女性,18-39,所有情绪,尝试另一协议（好）,,19
2045,男性,18-39,所有情绪,尝试另一协议（好）,,19
2046,女性,40-69,所有情绪,尝试另一协议（好）,,19
2048,男性,40-69,所有情绪,尝试另一协议（好）,,19
2094,女性,18-39,所有情绪,尝试另一协议（糟）,,19
2095,男性,18-39,所有情绪,尝试另一协议（糟）,,19
2096,女性,40-69,所有情绪,尝试另一协议（糟）,,19
2098,男性,40-69,所有情绪,尝试另一协议（糟）,,19
