,Unnamed: 0,gender,age,emotion,base,rewriting
93,93,Female,18-39,Sad,Was this caused by a recent or distant event (or events)?,"I understand, thank you. And was this event recent or more distant? Either way, I hope it wasn't too traumatic for you."
97,97,Male,18-39,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Have you attempted protocol 6 anytime recently, and if so did it spark difficult emotions for you remembering this event?"
98,98,Female,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Some people have found that protocol 6 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried protocol 6, and did it cause you to feel any negative emotions?"
102,102,Female,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I wonder, did trying protocol 6 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise."
105,105,Male,18-39,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I understand it can be difficult. May I ask if you have tried protocol 6 to better understand the emotions you felt, but it was just too painful to get through?"
121,121,Male,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Protocol 6 can bring up emotions you may not have felt in a long time, so I wonder if this would be the right choice for you. Is it possible that you have recently attempted protocol 6 and this has reignited these negative emotions?"
123,123,Female,18-39,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for being so open, I'm trying to determine the best way to help and know how hard it is to revisit trauma. I am curious if protocol 6 proved too painful for you?"
126,126,Male,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Have you tried protocol 6 and perhaps found that this did not help in the way you had hoped?
127,127,Male,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I think protocol 6 might help, but I'd like to investigate a bit further before I suggest it. If you have recently tried protocol 6, could you tell me if it brought back unmanageable emotions due to old events?"
135,135,Male,18-39,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,That is unfortunate. Have you given protocol 6 a try and did it spark the same difficult emotions you felt toward this event?
138,138,Female,18-39,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I'm very sorry that you are going through this. Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?
139,139,Male,18-39,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"The exercises in protocol 6 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in protocol 6 and find them difficult or traumatic?"
140,140,Female,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for sharing this with me, I understand it can be difficult. I would like to ask you if you have recently attempted protocol 6 and, if so, if you have felt more distressed as a result of it."
144,144,Female,40-69,Sad,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for that, perhaps protocol 6 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted protocol 6 and if so, did it stir up difficult or traumatic emotions?"
145,145,Male,18-39,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Have you attempted protocol 11 anytime recently, and if so did it spark difficult emotions for you remembering this event?"
146,146,Female,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Some people have found that protocol 11 doesn't necessarily help them, so I am trying to evaluate whether it could be right for your current situation. Have you tried protocol 11, and did it cause you to feel any negative emotions?"
150,150,Female,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I wonder, did trying protocol 6 recently trigger any bad feeling? If this happened, I hope you didn't suffer too much from that exercise."
153,153,Male,18-39,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I understand it can be difficult. May I ask if you have tried protocol 11 to better understand the emotions you felt, but it was just too painful to get through?"
169,169,Male,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Protocol 11 can bring up emotions you may not have felt in a while time, so I wonder if it would be the right choice for you. Is it possible that you have recently attempted protocol 11 and this has reignited negative emotions?"
171,171,Female,18-39,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you for being so open, I'm trying to determine the best way to help and know how hard it is to revisit trauma. I am curious if protocol 11 proved too painful for you?"
174,174,Male,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,Have you tried protocol 11 and perhaps found that this did not help in the way you had hoped?
175,175,Male,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I think protocol 11 might help, but I'd like to investigate a bit further before I suggest it. If you have recently tried protocol 11, could you tell me if it brought back unmanageable emotions due to recent events?"
183,183,Male,18-39,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,That is unfortunate. Have you given protocol 11 a try and did it spark the same difficult emotions you felt toward this event?
186,186,Female,18-39,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,I'm very sorry that you are going through this. Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of recent events?
187,187,Male,18-39,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"The exercises in protocol 11 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in protocol 11 and find them difficult or traumatic?"
188,188,Female,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you for sharing this with me, I understand it can be difficult. I would like to ask you if you have recently attempted protocol 11 and, if so, if you have felt more distressed as a result of it."
192,192,Female,40-69,Sad,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"Thank you for that, perhaps protocol 11 could help you deal with this event, however before I can recommend it i'd like to make sure that you haven't had a bad experience with it in the past. Have you already attempted protocol 11 and if so, did it stir up difficult or traumatic emotions?"
193,193,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,Thank you for being so helpful and patient thus far. If you don't mind I have a few more questions that will further help me understand the situation.
197,197,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you, I appreciate that. I'm going to try and get to the bottom of this by asking you some more questions."
198,198,Female,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"I appreciate your efforts, even though it must be hard for you. I've got some questions now to help understand your situation."
200,200,Female,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,I'm in tune with your emotion and we will understand how to overcome it. I want to ask you some more questions to better understand why you feel that way.
202,202,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing all this with me, I imagine it must be difficult. I'd like to better understand what you are going through with a few more questions."
203,203,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you so much for sharing that with me, I can relate to this feeling. I just need to ask a few questions to get a better understanding of what you're dealing with right now."
205,205,Female,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"I understand you're feeling down, and I am sorry to hear it. How about we go through a few questions and look into some approaches that might help you feel better."
206,206,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you, hopefully we can gain a better understanding of your recent difficulties. I have a few more questions for you today, if that's okay."
207,207,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you for letting me know, I appreciate it. What I'd like to do now is ask a few questions about what's going on just so that I can better understand what's happening."
213,213,Male,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"I appreciate you sharing this with me. I'd like you to provide me with some more information now, if it's all right with you."
214,214,Female,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,Sorry to hear about your troubles. I am going to ask some questions now to understand your situation.
221,221,Female,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,Thank you for being so open and I know how hard this can be. I have a few more questions to try to better understand where you're at and how to help.
222,222,Female,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"I understand you're sad, and it makes perfect sense in this complicated situation. I have a few questions to ask you now, to help me understand what is happening."
225,225,Male,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,Thanks a lot for talking to me. I would like to ask you some questions so I could know your situation better.
226,226,Female,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing this. Now I'd like to understand your situation better, so I will ask you some questions, if that's okay."
233,233,Male,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you, I am sorry you're struggling right now and want to help. Let's move on to the next questions and try to resolve this situation."
234,234,Female,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,Thank you very much. I would now like to delve more into understanding your dilemma by asking you some additional questions.
235,235,Male,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"I am sorry that you are hurting, please bear with me while I try to investigate this further. I'd like to ask you some more questions, so that I can understand the situation a bit better."
236,236,Female,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thanks for sharing this with me, I would like to help you in some way. Now I will ask some questions to understand your situation."
238,238,Female,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing your feelings with me, I appreciate your trust. If you do not mind I will now ask you a few questions to better understand the situation."
239,239,Female,18-39,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you for sharing, I am sorry you are going through this. I would just like to ask some more questions in order to better understand what you are feeling right now."
241,241,Male,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you, I appreciate you sharing with me, I know this can be difficult. I'd like to ask a few more questions to get to know your situation better."
242,242,Female,40-69,Sad,Thank you. Now I will ask some questions to understand your situation.,"Thank you for opening up to me, I understand it can be difficult and I appreciate your honesty. I would like to ask you a few more questions so that I can help you better, if it is ok with you."
243,243,Male,18-39,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,"I understand it may be difficult, but I would greatly appreciate if you could share this with me. May I ask if you have expressed or felt any of these strong emotions toward someone:"
245,245,Male,18-39,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,"Thanks, I appreciate your patience. Would you say you've strongly felt or expressed any of the following emotions towards someone:"
266,266,Male,40-69,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,I am thankful for the feelings you shared. May I ask whether you have experienced any of these feelings:
269,269,Male,40-69,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,Difficult situations can make our emotions feel on edge. Have you had any of these strong feelings and/or have you expressed them toward another:
271,271,Female,18-39,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,I'm going to show you a list of unhealthy emotions that are nevertheless common to feel or express toward others at times. Please let me know if you've strongly experienced any of the following emotions toward the people in your life:
286,286,Female,18-39,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,I'm in tune with your emotion and we will understand to overcome it. Have you strongly felt or expressed any of the following emotions towards someone:
288,288,Female,40-69,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you, I want you to know that even negative emotions can help us grow if we are able to understand them and learn from them. Have you recently experienced any of the following emotions toward anyone you know:"
289,289,Female,18-39,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,"Thank you for trusting me, I would now like to know what sort of emotions you have been dealing with lately. Could you tell me if you have felt any of the following emotions:"
290,290,Male,40-69,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,"We may sometimes experience difficult emotions that we might be ashamed to admit, but they are completely normal and it is important that we recognise and deal with them. Could you tell me whether you have felt or expressed any of the following emotions:"
292,292,Female,40-69,Sad,Have you strongly felt or expressed any of the following emotions towards someone:,"I'd like to ask you about negative emotions that you may have felt; it is completely normal to feel them sometimes, but it's important that we learn to recognise them before they take over our lives. Thinking of your recent past, is it possible that you have felt, at times, any of the following emotions toward someone:"
309,309,Male,18-39,Sad,Do you believe that you should be the saviour of someone else?,I would like to better understand why you are experiencing this negative feeling right now. Do you feel that you need to save someone else?
321,321,Female,18-39,Sad,Do you believe that you should be the saviour of someone else?,"Being loyal and helpful are always beautiful virtues to have, however, they can become unhealthy if we start to forget about our own wellbeing. Do you think it is more important to you to focus on helping others than growing and focusing on yourself?"
330,330,Female,18-39,Sad,Do you believe that you should be the saviour of someone else?,Thank you for your cooperation so far. May I ask if you feel obliged to rescue other people in your life from their own problems?
335,335,Female,40-69,Sad,Do you believe that you should be the saviour of someone else?,"I would like to know a bit about how you view your role within your social circle. Do you often feel that it is your job to save others, or that other people expect you to be that way?"
338,338,Male,40-69,Sad,Do you believe that you should be the saviour of someone else?,"Please try to think carefully about your recent past before answering the following question. Have you felt, lately, that it falls upon you to save others around you, help them overcome their problems at the expense of your own?"
351,351,Male,18-39,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Do you think, perhaps, that you're not taking full responsibility for the way you're feeling, and that's causing you to lash out at others?"
361,361,Male,40-69,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand, thank you, then I'd like to dig a little deeper. Do you feel you are a victim in this regrettable situation?"
365,365,Male,18-39,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you, let's reflect on this feeling of yours a bit longer. Would you say you are a victim and are you blaming someone for how negative you feel?"
370,370,Male,18-39,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?",I would like to know if you feel understood or antagonised by others around you; this is important for me to be able to help you. Do you think others around you understand you or are they actually part of the problem?
378,378,Female,40-69,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you very much for your answer. I would now like to ask you if you see yourself as the victim of the situation, and someone else is to blame for your painful feelings."
380,380,Male,40-69,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you for sharing this. Could you tell me if you see yourself as the victim, blaming someone else for how negative you feel?"
382,382,Female,40-69,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I understand. Are other people the problem in this situation, perhaps the the way someone close to you has been treating you?"
383,383,Female,40-69,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","That's okay, thank you for letting me know. Is there anyone in particular who you are blaming for your sadness?"
384,384,Female,18-39,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","I sympathise with the feeling of sadness you are experiencing right now. I wonder, is there someone in your life who you feel is to blame for your sadness?"
386,386,Male,40-69,Sad,"Do you see yourself as the victim, blaming someone else for how negative you feel?","Thank you for your answer, let's see if there is something else that is bothering you. Do you feel that someone has been abusing you or victimising you lately?"
409,409,Male,40-69,Sad,Do you feel that you are trying to control someone?,"Thank you for your response, that's helpful. Trying to look at yourself from the outside, do you feel that you are controlling or trying to control someone else's behavior?"
413,413,Male,18-39,Sad,Do you feel that you are trying to control someone?,Please try to look deeply into your relationships with others before answering the next question. Do you feel like you're trying to control someone?
417,417,Female,18-39,Sad,Do you feel that you are trying to control someone?,"It is always hard to stay objective when emotions are involved, but I would like you to try if you can. Are you feeling like you are always focusing more on what others are doing in life than what you are doing with life?"
425,425,Female,40-69,Sad,Do you feel that you are trying to control someone?,"Thank you again, that is helpful for me to understand. Could it be that you are trying to control or manipulate someone else into doing something that you want them to do?"
426,426,Female,18-39,Sad,Do you feel that you are trying to control someone?,"Thank you. Would you say that perhaps you are trying to control someone else, make them do what you want them to do or say what you want to hear?"
428,428,Female,40-69,Sad,Do you feel that you are trying to control someone?,"The following question may feel a little direct, but please try to answer as honestly as you can. Would you say that you feel the need to control someone or something right now?"
429,429,Female,40-69,Sad,Do you feel that you are trying to control someone?,"I see, perhaps your sadness could be caused by not being able to obtain what you need or expect from others. Could it be that you are attempting to control someone but can't, and this is causing you frustration?"
431,431,Female,18-39,Sad,Do you feel that you are trying to control someone?,Could your sadness be causing you to become manipulative toward someone? Could it be that you are trying to make someone do or say something in order to feel better?
433,433,Male,40-69,Sad,Do you feel that you are trying to control someone?,"Thank you for your answer, I am always here to understand and help you, never to judge. Is it possible that you are trying to take charge of someone else's life?"
448,448,Male,18-39,Sad,Are you always blaming and accusing yourself for when something goes wrong?,"It's normal to blame ourselves for our problems on occasion, but we should be careful not to make this into a destructive habit. Do you notice that you're always blaming yourself for anything that goes wrong?"
473,473,Female,40-69,Sad,Are you always blaming and accusing yourself for when something goes wrong?,"I understand, thank you for taking the time to answer that. May I ask whether you feel that you have a tendency to always blame yourself for your problems?"
475,475,Male,40-69,Sad,Are you always blaming and accusing yourself for when something goes wrong?,Thank you for sharing this. Can you tell me if you feel you are always blaming and accusing yourself for when something goes wrong?
479,479,Female,40-69,Sad,Are you always blaming and accusing yourself for when something goes wrong?,"Thank you for letting me know. Would you say that you are prone to self-blame, and often accuse yourself for things that go wrong?"
480,480,Female,18-39,Sad,Are you always blaming and accusing yourself for when something goes wrong?,"Hmm, I see, thank you for taking the time to answer all these questions, I am still trying to figure out the best way to help. Would you say that you have a tendency to point the finger at yourself when something goes wrong?"
504,504,Male,40-69,Sad,"In previous conversations, have you considered other viewpoints presented?","Thank you for letting me know. Do you believe you have explored all of your options, including those that may have been suggested to you by other people?"
521,521,Female,18-39,Sad,"In previous conversations, have you considered other viewpoints presented?","Thank you for your trust, please help me understand better. Would you say that, in previous conversations, you have always been willing to listen to other people's views and opinions?"
529,529,Male,40-69,Sad,"In previous conversations, have you considered other viewpoints presented?","Sometimes other people may be able to help us figure out a situation and grow stronger, as long as we are able to listen. Do you consider yourself to be a good listener?"
552,552,Male,40-69,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I'm sorry you are feeling sad and in order to help you I would like to dig a bit deeper. If you don't mind me asking, are you going through a rough personal crisis?"
569,569,Female,40-69,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for your answers so far. May I ask if you feel that you are undergoing a personal crisis right now, or if you are experiencing unmanageable interpersonal difficulties with those around you?"
570,570,Female,18-39,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you. I'd like to know if you may be undergoing a particularly difficult moment, due to problems with friends or family."
571,571,Male,40-69,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for your patience, I really appreciate it. Could you tell me if you feel you are undergoing a personal crisis in this moment of your life, dealing with severe difficulties at work or at home?"
573,573,Female,40-69,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Thank you for being so patient and cooperative. If you don't mind, I would like you to tell me if you feel you are struggling at the moment."
574,574,Female,40-69,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I understand it can be tough, so thank you for answering everything so patiently. Have you experienced intense emotional stress lately, or have you felt misunderstood by your friends or loved ones?"
575,575,Female,40-69,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"I wonder if your sadness could be routed in a wider issue. Are you experiencing any major problems in your life, have you fallen out with a loved one for example?"
577,577,Female,18-39,Sad,Are you undergoing a personal crisis (experiencing difficulties with loved ones e.g. falling out with friends)?,"Would you describe this moment of your life as an intense and complex time where you, your relationships and affections are being strongly challenged?"
583,583,Female,40-69,Angry,Was this caused by a specific event/s?,"Thank you, I understand you're upset right now, but I would appreciate it if you could tell me a but more. Did a specific event cause your anger?"
587,587,Male,18-39,Angry,Was this caused by a specific event/s?,"I am sorry to hear it, this is something we all experience at times. Can you tell me if these feelings come from a specific event?"
591,591,Male,18-39,Angry,Was this caused by a specific event/s?,I am sorry to hear that. Do you have a specific event in mind that has made you feel this way?
597,597,Male,40-69,Angry,Was this caused by a specific event/s?,I'm sorry you feel that way and I would like to know more about what happened. Was this caused by a specific incident?
598,598,Male,40-69,Angry,Was this caused by a specific event/s?,"Oh, I am sorry to hear it, I would like to know more about what made you feel that way. Is it due to a particular event?"
607,607,Male,40-69,Angry,Was this caused by a specific event/s?,"I understand, thank you for sharing your feelings with me, I would like to know more about what happened. Was this caused by something specific?"
612,612,Female,40-69,Angry,Was this caused by a specific event/s?,"I understand, and I am sorry you feel that way. Was this caused by a specific event/s?"
613,613,Male,18-39,Angry,Was this caused by a specific event/s?,It must be hard for you to feel this way. Did this get triggered by something specific?
615,615,Male,18-39,Angry,Was this caused by a specific event/s?,I'm sorry about that. Is there anything in particular that has made you feel this way?
616,616,Female,40-69,Angry,Was this caused by a specific event/s?,"Thank you, I would really appreciate it if you could elaborate a bit on the reason you are feeling so angry. Was it a specific event that caused it?"
618,618,Female,18-39,Angry,Was this caused by a specific event/s?,It's okay to feel that way. May I ask if this was caused by a specific event/s?
621,621,Female,18-39,Angry,Was this caused by a specific event/s?,"Thank you for sharing your feelings with me, even though it may be difficult for you right now. Do you think your feelings may have been caused by something specific?"
623,623,Male,40-69,Angry,Was this caused by a specific event/s?,"Oh, that's not good. Was there something that triggered this feeling?"
624,624,Female,40-69,Angry,Was this caused by a specific event/s?,"Thank you, I understand how hard it must be to be dealing with this feeling right now, and hope I can help you feel better. Could you please tell me if a specific event has caused you to feel this way?"
633,633,Female,18-39,Angry,Was this caused by a recent or distant event (or events)?,"Thank you for your input, I am sorry you have to deal with this. Can you let me know if this was caused by something recent or distant?"
639,639,Female,18-39,Angry,Was this caused by a recent or distant event (or events)?,"I'm sorry to hear that. Was this recently, or did it happen a while back?"
653,653,Male,18-39,Angry,Was this caused by a recent or distant event (or events)?,"I completely understand why you might be feeling this way. In order to help you, I need to know if this happened recently or a while back."
656,656,Female,40-69,Angry,Was this caused by a recent or distant event (or events)?,"Thank you for your response, I would really like to help. Could you tell me if this was caused by a recent event or a distant one?"
664,664,Female,40-69,Angry,Was this caused by a recent or distant event (or events)?,"Thank you for your answer, I can relate. And would you say that this event or events that caused you to feel angry happened in the recent or distant past?"
667,667,Male,40-69,Angry,Was this caused by a recent or distant event (or events)?,Sorry to hear that. Was it a recent or a more distant event that caused this?
668,668,Female,40-69,Angry,Was this caused by a recent or distant event (or events)?,"I understand, thank you for letting me know. May I ask, was this event that caused your anger distant or recent?"
669,669,Male,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"It would help me greatly if you could share this with me. Have you tried out protocol 6 recently, and if so did it cause you to feel any hard to manage emotions?"
674,674,Male,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I understand thinking about the past can be uncomfortable at times. Have you tried working through protocol 6? If so, have you felt unable to deal with the emotions that arise?"
676,676,Female,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"This is really helpful, thank you. To your knowledge, did doing protocol 6 make you feel angry or upset?"
691,691,Female,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,Protocol 6 is one of the tougher exercises and isn't right for every situation; I'm trying to determine if it's right for you. Did you give protocol 6 a try and find that it was too difficult?
699,699,Male,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I see, thank you very much for sharing. Did a recent attempt of protocol 6 cause past emotions to flare up?"
704,704,Female,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,I understand and I'm sorry that this happened. Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?
706,706,Female,40-69,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for helping me to understand better. I would like to know if you have recently attempted protocol 6 and, if so, did you find that it did more harm than good?"
707,707,Female,18-39,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"I would like to understand if protocol 6 is the right one for you, given that it can be quite intense. May I ask if you have attempted protocol 6 recently, and found this brought back negative emotions from the past?"
710,710,Female,40-69,Angry,Have you recently attempted protocol 6 and found this reignited unmanageable emotions as a result of old events?,"Thank you for that; I think that protocol 6 could help you deal with this event, however some people have reported that this protocol can be rather intense. Have you already tried protocol 6, and if so did it stir up difficult or traumatic emotions?"
711,711,Male,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"It would help me greatly if you could share this with me. Have you tried out protocol 11 recently, and if so did it cause you to feel any hard to manage emotions?"
716,716,Male,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"I understand thinking about the past can be uncomfortable at times. Have you tried working through protocol 11? If so, have you felt unable to deal with the emotions that arise?"
718,718,Female,18-39,Angry,Have you recently attempted protocol 11 and found this reignited unmanageable emotions as a result of old events?,"This is really helpful, thank you. To your knowledge, did doing protocol 11 make you feel angry or upset?"
