response,annotator1_score,annotator2_score,annotator3_score,empathy_score
"Have you recently tried Protocol 6, and if you have, did it bring up difficult emotions from past events?",1,1,0,1
"I understand, thank you. Do you feel like you are the victim of other people's behaviour?",1,1,1,1
Do you always feel that you are responsible for things that are actually outside of your control?,1,0,1,1
"As you may know, Protocol 6 can be used to examine events like these. Have you had any experience with Protocol 6? And, if so, did you find that it brought difficult emotions to the surface that were associated with past events?",2,1,2,2
"Now that the protocol is finished, do you feel any differently to how you felt beforehand?",1,0,1,1
Thank you so much for opening up to me and telling me how you feel. I'm glad we could have this chat and I am here if you need me.,2,2,2,2
"From what you've told me, it sounds like you're feeling {}, is this right?",0,1,1,1
"Now, it's perfectly normal to feel either better or worse immediately after doing this. How would you say you feel after completing the protocol?",1,2,2,2
Do you feel you are always making yourself the reason for things going wrong?,0,0,0,0
"I can see you may be feeling {}, is this accurate?",1,2,2,2
Do you feel you are the victim here?,0,0,1,0
Do you think you may be displaying controlling behaviour toward someone else?,1,1,1,1
I'm sorry to hear you are feeling anxious. Did something happen to trigger these anxious feelings?,2,1,2,2
"OK, don't worry, I have a few more that might work better for you. Would you like to try a different one?",1,2,1,1
Do you think you are always taking the blame for things that aren't your fault?,1,0,1,1
"You said that you are having anxious feelings, I wonder if you can also remember if you have felt any other strong emotions towards another person. Do you feel that any of these may apply to how you've felt recently:",2,2,2,2
"Please read through the protocol information, when you feel you understand and are ready to begin, try and work your way through it. Once you have finished please press 'continue'.",1,2,2,2
"Oh I am very glad to hear that! Feeling happy/content is something we all want to maintain, so may I recommend a therapeutic protocol you may use to enhance and maintain that positive feeling?",2,2,2,2
Did something happen to bring about this feeling?,0,0,1,0
"Sorry to hear about your troubles, I am always here to help. Are you experiencing difficulties with any of your loved ones right now?",2,2,2,2
"Are you taking ownership for the things that happen, or do you feel like others are to blame for the negative feelings you have?",0,1,2,1
That is unfortunate. Have you given Protocol 6 a try and did it spark the same difficult emotions you felt toward this event?,1,0,0,0
Did you give thought to how others may see the situation?,0,1,1,1
Would you rather take the lead in relationships?,0,0,1,0
"How long ago did this happen, was it recent or distant?",0,0,0,0
Are you always willing to hear other people's advice?,0,0,0,0
"Not every protocol works for everyone, and that's okay, I would recommend  not giving up and trying again. Would you like to attempt another one together?",2,2,2,2
Did you happen to try Protocol 11 and do you think that may be why you are having these negative feelings?,1,2,2,2
Do you feel you are always taking the blame for when a situation goes wrong?,1,2,1,1
Could your sadness be causing you to become manipulative toward someone? Could it be that you are trying to make someone do or say something in order to feel better?,1,2,2,2
"I think Protocol 11 might help, but I'd like to investigate a bit further before I suggest it. If you have recently tried Protocol 11, could you tell me if it brought back unmanageable emotions due to old events?",2,1,2,2
"Considering your situation, I would like to recommend these protocols for you. Please let me know which protocol you would prefer to start with.",1,0,2,1
Could you tell me if this event or events happened recently or in the past?,1,0,1,1
"In past conversations, have you really made an effort to understand others' perspectives?",0,0,0,0
"I'm sorry to hear it. When did this happen, recently or a while back?",1,1,1,1
Have you felt something like the following toward someone else:,0,0,0,0
"So, how do you feel now after going through the protocol, better or worse?",0,0,1,0
"Do you feel responsible for someone else, to the point that you may be trying to change or correct their behaviour?",1,1,2,1
I hope you can cope. Do you mind if I ask you whether a particular event or issue has caused your anxiety?,2,2,2,2
"If I may ask, do you have any trouble in your personal matters at the moment?",2,1,1,1
"I would like you to start the protocol now. Then when you finish, just press 'continue'.",0,0,0,0
"Thank you, I greatly appreciate that you took part in this activity. I look forward to seeing you in the near future.",2,1,2,2
"When things go wrong, do you always think that you are to blame?",0,1,0,0
"You're doing really well, I want to help you feel better and try and understand your situation. Is it okay to ask some more questions?",2,2,2,2
"Does it feel like right now anything really big is happening, like a personal crisis?",0,0,1,0
Have you recently tried Protocol 11 and perhaps found that this did not help in the way you had hoped?,1,2,2,2
Do you feel you are being negatively affected by someone else?,1,0,2,1
Do you find it easier or natural to place the blame for your problems and feelings on others?,0,1,1,1
I look forward to more fruitful engagements with you in the future.,1,0,0,0
"I see, perhaps your sadness could be caused by not being able to obtain what you need or expect from others. Could it be that you are attempting to control someone but can't, and this is causing you frustration?",2,2,2,2
Was the thing that happened quite recent or did it occur a long time ago?,0,1,1,1
Do you believe you're a victim?,0,0,0,0
How are you feeling now? Did it help?,0,1,0,0
Do you feel you have to look after everyone else?,0,0,1,0
"Thank you for sharing your feelings with me. To understand your situation I would now like, with your permission, to ask you some questions.",2,2,2,2
Could you tell me if you started feeling this way after attempting Protocol 11 to revisit a traumatic event from the past?,1,2,1,1
"Is this something you've been worried about for a while, or is it something new thats on your mind?",1,1,1,1
"Do you mind telling me when this happened, was it recent or distant?",1,2,1,1
Would you like to try again with a different one?,0,1,1,1
"Right now, is there something that afflicts you in your circle of friends or family?",0,1,0,0
Do you always feel guilty or angry at yourself for the negative things that happen to you?,0,0,0,0
Do you feel that you should be the saviour of someone else?,0,0,1,0
Thank you very much for your time and efforts. Have a good day!,1,0,1,1
"I understand, thank you. Did this event happen recently or a while ago?",1,1,2,1
"Thinking about it, would you say that you tend to always blame yourself when problems occur?",1,2,0,1
"It seems that you're feeling {} today, is that an accurate enough description of what you're feeling?",1,1,2,1
"Things must be very difficult for you right now, so I wonder if anything major is happening. Is there anything going on in your life that feels bigger than normal?",2,2,2,2
"I'm sorry to hear that, I hope you don't mind elaborating a bit further. Did this happen recently, or was it further away in the past?",2,2,2,2
"If I may ask, do you feel that you want to control someone in your life right now?",2,1,2,2
Do you always feel like things that go wrong are your fault?,0,0,0,0
"I see, thank you. After listening to your concerns, I think that your are feeling {}, is this true?",1,2,2,2
Have you always listened to the people in your life and considered their point of view on things whenever you have spoken to them?,0,1,1,1
Do you feel better or worse?,0,0,0,0
Events from our past may trigger elevated emotions. Did you experience intense negative emotions when doing Protocol 11?,1,1,2,1
"Oh, I am so sorry to hear this. Did a specific situation cause this?",1,2,2,2
"That's fine. Now that you have worked through the protocol, could you say whether you feel better or worse than you did before starting?",1,1,1,1
"If I may ask this, do you always see yourself at fault for anything that happens?",2,1,1,1
"Your participation has been invaluable and really appreciated, thank you for your time. I hope to see you soon.",2,2,2,2
It's ok to feel the way that you are feeling. Do you believe you are a victim for you feeling so down?,2,1,2,2
I'm sorry to hear that. Do you want to try a different protocol to see if it works better?,1,2,2,2
Are you remembering something from your distant past or was it something more recent?,1,0,1,1
"I see, thank you. Do you feel that someone else is to blame for your sadness?",1,2,1,1
"Do you always and continuously blame and accuse yourself when something goes wrong, even if deep down you can recognise that it wasn't your own fault?",1,1,0,1
Have you felt any of the following about one or more people:,0,0,0,0
Would you say you feel better or worse after taking it?,1,0,1,1
Do you feel that it is your responsibility to be someone's saviour?,0,1,1,1
I'm going to ask you now about some other negative emotions. Can you tell me if you've recently felt any of these emotions towards someone:,2,0,1,1
Do you blame others for the way you feel right now?,0,0,1,0
"I have here a few protocols that I would like you to look at, I think that they may be able to help you. Please select the protocol that you would like to try:",2,2,2,2
I hope it was a positive experience for you. May I ask if you are now feeling better or worse than before you started the protocol?,2,2,2,2
I understand that you are feeling anxious. Please could you tell me a little more about this? Is the anxiety due to a specific event or events?,2,1,2,2
Would you say that you have always considered carefully other people's viewpoints and arguments that may have been presented to you in previous discussions?,1,2,1,1
"Thank you again, that is helpful for me to understand. Could it be that you are trying to control or manipulate someone else into doing something that you want them to do?",2,2,2,2
Was it a recent or distant event?,0,0,0,0
Did something happen prior to this feeling?,0,0,1,0
"At this moment in time, are there any major conflicts in your life?",0,0,1,0
Is this a feeling that came about a result of you doing Protocol 6?,0,0,0,0
Go ahead with the protocol in your own time. When you're finished just remember to click 'continue'.,1,0,1,1
Lately has your anxiety led to you have any of the following unwelcome emotions toward anyone else:,0,1,1,1
"Was this recently, or did it happen some time ago?",0,0,1,0
Was this recent or distant?,0,0,0,0
May I ask if you have been under a lot of pressure or stress lately?,2,1,1,1
"I understand. I believe you are feeling {}, would you say that is correct?",1,1,2,1
I am sorry to hear this. Is there a specific event that may have caused you to feel this way?,2,1,2,2
"Has this protocol changed how you feel, either for better or worse?",0,1,1,1
"I could suggest another protocol that could help, if you like.",1,1,0,1
Would you like to try something different that might be a better fit?,1,1,1,1
"It's good that you have recognised how you are currently feeling, let's see if we can identify other negative emotions that have been bothering you. Have you felt or expressed any of the following towards anyone recently:",2,2,2,2
Thank you for answering that. Do you ever imagine what it would be like to have a viewpoint other than your own?,1,0,0,0
Do you feel that you're being expected to save others?,1,0,1,1
That is unfortunate. Have you given Protocol 6 a try and did it spark the same difficult emotions you felt toward this event?,1,1,2,1
"Thanks for sharing that with me, let's dive into it a little more. I would now like to ask you some more questions, so that I can help.",2,2,2,2
Have you been able to consider other people's perspectives in your previous conversations?,0,1,0,0
"I really would like to see you again soon, so please drop by when you can.",1,1,2,1
"Do you often feel that it is your job to save others, or that other people expect you to be that way?",1,1,2,1
"Thank you for being so patient and cooperative. If you don't mind, I would like you to tell me if you feel you are struggling at the moment.",2,2,2,2
Is there anything in particular that you can recall that may be contributing to you feeling that way?,0,2,1,1
"If you think about it, would you like the power to control someone in your life right now?",0,1,1,1
"Thank you for sharing, I know it can be difficult sometimes. Can we talk a little bit more about your current personal circumstances?",2,2,2,2
Do you feel bad right now because of someone else?,0,0,0,0
Are you experiencing any difficulties or are you facing a crisis in your personal life?,0,0,1,0
"Oh no, that must have been difficult. Was this recent or distant?",1,2,2,2
Do you always feel that you need to save the people in your life?,0,0,1,0
"Are you in the middle of some trauma of a personal nature, like difficulties with family members or friends?",0,1,1,1
"Thank you. I get the impression you are feeling {}, am I right?",1,1,1,1
"Did it happen recently, or is this a past event that's still affecting you?",1,0,1,1
Did something in particular happen that made you feel sad?,0,1,1,1
Do you think it's possible that you're just trying to control every move another person makes?,1,0,1,1
"Do you feel these feelings of anxiety could be caused by any other emotions towards someone, for example:",1,1,1,1
Thank you for taking the time to complete the protocol. How did it make you feel - better or worse?,2,1,2,2
Do you feel a weight on your shoulders to save others?,0,1,1,1
"Was that event recent, or was it more distant in your past?",0,1,1,1
"Do you feel that someone is not accepting your authority, but they should?",1,1,0,1
Have you fully considered the perspectives of those you have talked to in the past?,0,0,1,0
"I wonder if your sadness could be rooted in a wider issue. Are you experiencing any major problems in your life, have you fallen out with a loved one for example?",2,1,2,2
I'm going to ask you a few more questions if you do not mind.,0,1,1,1
"Now you have tried this protocol and reached the end, do you feel better or worse about your situation?",1,0,1,1
"I feel that you are feeling quite {} today, is that right?",0,1,0,0
Do you believe that you should always be hard on yourself when things don't go to plan?,0,0,1,0
"That's ok, thank you for letting me know. Do you feel, perhaps, that someone or something else is causing your negative feelings?",2,1,2,2
Would you say that someone else caused you to feel this way?,1,0,2,1
"I am sorry that you are hurting, please bear with me while I try to investigate this further. I'd like to ask you some more questions, so that I can understand the situation a bit better.",2,2,2,2
I'm very sorry that you are going through this. Have you recently attempted Protocol 6 and found this reignited unmanageable emotions as a result of old events?,2,2,2,2
Thank you for taking the time to complete the protocol. How did it make you feel - better or worse?,2,1,2,2
"So, how do you feel now after going through the protocol, better or worse?",0,0,0,0
"In your own words, please could you specify the emotion that you are feeling?",1,2,2,2
Would you say that you generally listen to others' input?,1,0,1,1
Are you always angry at yourself when something bad happens?,0,0,1,0
Could you please express how you feel now that you've gone through this protocol?,1,1,2,1
"May I ask if you feel like a victim right now, and someone else is responsible for your sadness?",2,1,1,1
"The following question may feel a little direct, but please try to answer as honestly as you can. Would you say that you feel the need to control someone or something right now?",2,1,2,2
I'm going to show you a list of emotions now. Please tell me if you have strongly felt or expressed any of these emotions towards someone:,1,2,1,1
Have you intensely felt or expressed any of the following emotions towards anyone in your life:,1,0,0,0
Are you experiencing major difficulties or challenges in your relationships with others right now?,1,1,1,1
"Do you like to imagine yourself taking power and controlling others, sometimes?",1,0,1,1
"Okay, and then what about how you want to behave. Are there any urges right now to try and control someone in your life?",1,0,1,1
Would you say that you always blame and accuse yourself whenever something goes wrong?,1,1,1,1
"Have you tried to take a closer look at others' points of view, whenever these have been presented to you?",0,0,1,0
"It's great to herar that you feel this way. I have a protocol that might enhance this positive feeling, would you like to try it?",2,2,2,2
"Is this something that happened recently, or something from the past that's still on your mind?",1,0,1,1
I'm so sorry. Please tell me how you're actually feeling.,1,1,2,1
"Thank you, I appreciate you sharing with me, I know this can be difficult. I'd like to ask a few more questions to get to know your situation better.",2,2,2,2
I'm sorry to hear that. Could it be because of a certain event?,2,1,1,1
"Do you ever think about others' points of view, and have you taken the time to explore them?",0,0,1,0
"I hear how you are feeling. In order to support you, can you tell me if there is one specific event that has caused how you are feeling?",2,2,2,2
"Everyone deals with so many emotions throughout the day, and not all of them are positive. I want to ask you if you have recently felt any of these emotions in particular:",2,1,2,2
"Thank you for sharing this. Could you tell me if you see yourself as the victim, blaming someone else for how negative you feel?",2,2,2,2
"I have a protocol for you which I think you will like, if you're interested.",0,1,0,0
"Could it be that, sometimes, you attribute to others the responsibility for mistakes you make, or tend to shrug off guilt?",2,1,2,2
Thank you for your responses so far. I'm going to ask you a few more questions if you do not mind.,1,1,2,1
Are other people to blame for you feeling sad?,1,0,0,0
"Ok, thank you, let's see if we can get to the bottom of this. How about we go through a few questions and look into some approaches that might help you feel better.",1,1,2,1
"Thank you for your openness. Judging by your response, I think that you're feeling {}, would I be correct in saying that?",2,1,2,2
"Did you try using Protocol 11, and if so, did this spark difficult emotions because of past events?",1,1,1,1
Do you feel like you are going through a personal crisis due to issues in the relationship with someone close to you?,2,1,1,1
"I think you picked a good one, please give it your best shot. Just hit 'continue' when you finish and we can pick up from where we left off.",2,0,1,1
Are you feeling or thinking anything that is giving you the urge to save someone else?,1,0,1,1
"Knowing that your feelings are important to me, I need to ask you about your previous interactions with the protocols. Have you attempted Protocol 11 anytime recently, and if so did it spark difficult emotions for you remembering these events?",2,2,2,2
"Thinking of recent and not-so-recent events, do you get the impression that you would like to save someone else?",1,1,2,1
"I am wondering, have you tried to listen carefully and consider other viewpoints put forward by those that you love?",2,1,1,1
"Could it be, perhaps, that you are avoiding responsibility for your actions and just blaming someone else for your feelings right now?",2,1,2,2
Good! I've got some protocol suggestions that will hopefully maintain your good mood.,2,1,1,1
You must be hurting right now. Could you share whether this event was recent or longer ago?,2,2,2,2
"Is there any chance you might be forcing someone else, perhaps someone you care about, into behaving in a way that you want?",2,1,2,2
I understand that feelings of anxiety can be terrible. Is there something in particular that is making you feel this way?,2,2,2,2
Please try to look deeply into your relationships with others before answering the next question. Are you having any thoughts that you could be controlling someone else or trying to control them?,2,1,2,2
Do you feel better now after following the protocol?,0,0,0,0
"I see, I am sorry to hear that. Do you feel like a different protocol might help?",1,2,2,2
I'm sorry to hear that. Is there anything in particular that made you feel like this?,1,2,2,2
"Ok, I see. Have you felt pressured by someone else in your life, or victimised in any way?",1,0,1,1
"Do you think you may need to control someone, make them do or say what you want, in order to be less angry?",1,0,0,0
Do you feel that someone has done something to harm you in any way?,1,1,0,1
Would you say that you were able to really consider other viewpoints when they arose in previous conversations?,0,1,0,0
Thanks for answering that. Do you feel you are always blaming and accusing yourself when things haven't gone your way?,1,2,2,2
"Sorry to hear you are feeling anxious today, this must be difficult for you. Is there any particular reason why you are feeling like this today, did something happen?",2,2,2,2
Could you tell me if you have ever felt or shown strongly these emotions towards anyone else:,1,2,1,1
"How do you think you are feeling now, having completed the protocol?",1,0,1,1
The following protocols I feel would be of benefit to you. You can select the one you think suits you best at this moment.,1,1,2,1
This thing that is making you feel anxious - did it happen recently or was it some time ago?,1,0,0,0
"In your own time, have a look at this protocol and try to complete it. You can press ""continue"" when you are finished.",2,2,2,2
Is this a feeling that came about a result of you doing Protocol 11?,0,0,1,0
"Thank you for sharing with me, you're doing well. Do you mind if I ask you some more questions so that I can understand your situation better?",2,2,2,2
Thank you for sharing that. I've got some questions now to help understand your situation.,0,1,1,1
"Thank you for letting me know, I am terribly sorry you are feeling that way. Did something specific bring on this feeling?",2,2,2,2
"Sometimes it can help to address anxiety which is linked with a traumatic event from the past through Protocol 6. Have you already tried Protocol 6, and if so have you actually found that the emotions it brought back were too intense?",2,1,2,2
"I am so sorry that it has not worked out for you, however there are other choices that I could recommend. Would you like to try another? ",1,2,2,2
"I'm sorry that made you feel worse. Do you feel ready to try a different protocol, which might work better for you?",1,2,2,2
"Would you say, deep down, that you find comfort lately in keeping others in control?",0,0,1,0
"Thank you for your response, that's helpful. Trying to look at yourself from the outside, do you feel that you are controlling or trying to control someone else's behaviour?",2,1,2,2
"Ah, I see. Would you say this was a recent or distant event?",0,0,1,0
Thank you kindly for your time and cooperation during this session. I look forward to another session soon.,1,2,2,2
"Please find my recommendations below. Of the protocols below, is there one you would like to try now? If so please select it.",1,2,2,2
"Do you think, perhaps, that you're not taking full responsibility for the way you're feeling, and that's causing you to lash out at others?",2,1,2,2
"Would you want to control the situation, or another person?",0,0,1,0
"Emotions are often difficult to identify, I think you are doing a great job. Its important we understand where our emotions come form, so I'd like to ask you if you have felt any of these recently:",2,2,2,2
"It's a shame that one didn't work for you, but we will find a protocol that does work. There are other protocols that might work better for you, do you want to try one?",2,1,2,2
"Thank you for sharing, I am sorry you are going through this. I would just like to ask some more questions in order to better understand what you are feeling right now.",2,2,2,2
Did you try following Protocol 11 and if so did upset you?,0,0,1,0
"I understand, thank you. Would you say this event happened quite recently, or are you remembering something from the more distant past?",2,2,2,2
Did this happen recently?,0,0,0,0
Is this something that just happened or was it in the past?,0,0,1,0
"Excellent, when you are ready you can go through this protocol. When you have finished, press 'continue'.",2,1,1,1
It's okay to feel anxious and completely understandable. I just need to know if you have recently attempted to remember this past event and found it distressing?,2,2,2,2
Would you say that you have ever been able to really step outside of yourself and think of a situation from a different point of view?,1,0,1,1
"Have you recently revisited the trauma of this event through Protocol 6, and is this why you are now feeling anxious?",0,1,1,1
May I ask if you feel able to consider other people's points of view?,1,0,1,1
Are you having any personal issues or difficulties currently in your life?,1,0,0,0
"I understand, thank you for taking the time to answer that. May I ask whether you feel that you have a tendency to always blame yourself for your problems?",2,2,2,2
"Thank you for sharing your thoughts with me. I have the feeling that you are {}, is that the case?",2,1,2,2
"Did you try to do Protocol 11, and if so did it trigger uncomfortable feelings?",0,0,0,0
Would you say this is the result from an event from the recent or distant past?,0,1,1,1
"Thank you, I'd like to know more about how you are feeling in general. Are you by any chance experiencing personal difficulties at present?",2,1,2,2
"I believe you are feeling {}, would you say that is correct?",1,1,1,1
"I can see you may be feeling {}, is this accurate?",0,1,1,1
"It is always hard to stay objective when emotions are involved, but I would like you to try if you can. Are you feeling like you are always focusing more on what others are doing in life than what you are doing with life?",2,1,2,2
"I know you said you've been feeling anxious today, so I'd just like to know if you have been feeling other negative emotions. Are any of these emotions things you have felt in the past, or the present:",2,1,2,2
"Please try to focus on yourself and the task while you go through this protocol. At the end, press the 'continue' button.",2,2,1,2
"Sorry to hear you're feeling that way, it's ok though to feel like that, you're not alone. Is there anything specific causing you to feel that way today?",2,2,2,2
"How are you feeling after doing this, do you feel better or worse?",1,0,0,0
"Do you find that you always seem to blame yourself for the things that go wrong, even when you have no control over them?",1,0,1,1
I see. Could you tell me if the cause of this anxiety is something that happened some time ago or if it happened in recently?,0,1,2,1
Please try to look deeply into your relationships with others before answering the next question. Do you feel like you're trying to control someone who is close to you?,2,1,1,1
"You've shared with me that you have been feeling anxious, and I would now like to ask about your emotional state more in general. How about the following emotions, have you ever strongly felt any of these or expressed them towards someone else:",2,1,2,2
Is there anything major happening right now in your life that may make you feel like this?,0,1,1,1
Please choose a protocol that you would like to view now.,0,0,0,0
Please help me understand as I want to support you any way I can. Do you feel you are generally good at considering the viewpoints of others?,2,2,2,2
"How are you feeling now you have completed the protocol, if I may ask? I hope you feel better, but it's ok if you feel worse, just tell me and I'll try to help.",1,2,2,2
Is there someone to blame for how you're feeling?,0,0,1,0
Did this happen because of a recent or distant situation?,0,0,0,0
"Are you in the middle of some trauma of a personal nature, like difficulties with family members or friends?",1,0,0,0
"Oh, that's not good. Is this to do with any particular event that has occurred?",1,2,2,2
"Thank you. I know it isn't always easy, but anything you can tell me will help me to better understand your situation. Do you mind if I ask you a few more questions?",2,2,2,2
I understand. Was this to do with something that happened recently or a more distant event?,0,1,2,1
Do you always feel than your negative feelings or experiences are your own fault?,0,0,1,0
"In light of what you've told me, here are some protocols that we can try. Please select any that you feel like going through now.",1,2,1,1
"Are you blaming someone, perhaps, for feeling annoyed?",1,1,2,1
"Oh no, sorry to hear it. Is it something that has happened that triggered these feelings?",2,2,2,2
"Thank you so much for your input. It sounds to me that you are feeling {} right now, does that sound accurate?",2,1,2,2
"I've got some recommendations. If you can, please could you tell me which protocol you feel will work best for you today?",1,2,2,2
Do you feel as though your emotions are the cause of actions from others?,0,1,1,1
That's great to hear. Would you be interested in looking at a protocol you can try?,2,1,2,2
"I have here a few protocols that I would like you to look at, I think that they may be able to help you. Could you read through them and tell me which one you think would be most beneficial for you and that you would like to try.",2,2,1,2
"Thank you, you have been really brave in sharing so far. I want to see if I can support you by understanding how you are feeling and the causes of those feelings by asking you a few more questions, is that OK with you?",2,2,2,2
"If you had a magic wand, are there people you would eliminate from your life right now, in order to feel better?",1,0,0,0
In a moment I'm going to list some emotions. Have you felt any of these emotions strongly about someone or even acted on them:,1,0,1,1
"While you are irritated, do you often find yourself trying to take control of other people?",0,0,1,0
Did this event happen recently or a while ago?,0,0,0,0
Do you find it difficult to be in a position where you cannot help someone else?,0,1,0,0
"Sometimes others cause us to suffer, but other times it may be that we are avoiding taking responsibility for our actions and choices. Do you feel you have been suffering because of other people?",2,1,2,2
"Thank you, I understand. Do you believe it is someone else's fault that you are feeling so low? ",1,1,2,1
"Thank you for sharing this with me, I understand it can be difficult. I would like to ask you if you have recently attempted Protocol 11 and, if so, if you have felt more distressed as a result of it.",2,2,2,2
Do you think you could be trying to control someone else right now?,1,0,1,1
"Do you feel, perhaps, that the world is against you right now?",1,1,0,1
"That's not good, but we can still fix it. As you have suggested you are not feeling any better after that protocol, would you like to try a different one and see how that goes?",2,1,2,2
Have you felt that you have been victimized by someone else perhaps?,2,0,1,1
Would you say this is the result from an event from the recent or distant past?,1,0,1,1
"What event in your life do think has sparked this feeling, was it a recent one or more distant in the past?",1,1,1,1
"Okay, and what about your feelings toward those around you. Would you say that you are someone who is in trouble in this situation, and it's someone else's fault completely?",2,1,1,1
Would you say that you have always been open to listening to other people's opinions?,1,0,1,1
Are you worried about any personal issues between you and people close to you?,1,0,0,0
Can you let me know if you were recently working on Protocol 11 and it brought back some bad feelings from the past?,1,0,1,1
Do you always blame yourself a lot for your mistakes?,1,0,0,0
Could you share with me whether you have strongly felt any of the following emotions:,1,0,1,1
"The exercises in Protocol 6 can be difficult for some, so I would like to know if they would be the right choice for you. Did you attempt the exercises in Protocol 6 and find them difficult or traumatic?",2,1,2,2
"Do you feel like you are in trouble, and no one can help you?",0,1,1,1
"When did this happen, was it recently or a while ago?",0,0,1,0
"Do you feel like you are having a personal crisis, for example, a difficult time with family or friends or other loved ones?",1,1,2,1
I'm sorry you're not feeling great. Has anything happened to make you feel this way?,1,2,2,2
Were you recently attempting to move forward with Protocol 11 and did the trauma you revisited become too difficult to deal with?,1,1,2,1
Do you think there might be something going on somewhere in your mind making you feel that you should be acting as a saviour figure for some other person in your life?,1,1,2,1
"Please try this out. Let me know if it works for you and when finished, hit continue.",1,1,1,1
"It's normal to blame ourselves when something happens that hurts us, but if we always do this, it can build up into very angry feelings. Do you think that you tend to always blame yourself for every mistake?",2,1,2,2
"Thank you. There's no right or wrong answer here, it's good to just explore things. Do you think that you are always responsible when things don't work out the way you want them to?",2,2,2,2
Do you feel that someone is partly to blame for your negative feelings?,0,1,1,1
"Thank you, let's reflect on this feeling of yours a bit longer. Do you find it easier or natural to place the blame for your problems and feelings on others? ",2,1,2,2
"I completely understand how you are feeling and it must be so hard. If I may ask, do you feel you have expressed any of these emotions to someone:",2,2,2,2
Do you want to try any of them?,0,0,0,0
"May I ask you are having troubles at home, at work or with friends?",2,1,1,1
Do you think that perhaps you have felt any of these emotions recently:,0,0,1,0
I think one of these protocols might help you. Which protocol would you like to try?,0,1,0,0
"I understand, thank you. Are you unhappy because someone else has made you feel bad, like you've been hurt by them and you're the victim?",1,1,2,1
"Did this happen recently, or is it a memory from the distant past?",0,0,1,0
"I'm sorry that you are angry, and I wonder if this may be a symptom of something bigger. Have other major difficulties been happening in your life recently?",2,2,2,2
Would you be willing to try another protocol that might work better?,1,1,2,1
Do you think someone is responsible for your negative feeling?,0,1,0,0
"Have you tried going through Protocol 11 recently and, as a result, had uncontrolled emotions that were rekindled by things that happened in the past?",1,1,1,1
What about trying a different protocol and seeing if that makes you feel better?,1,0,0,0
Was this feeling caused by a specific event?,0,0,0,0
"Let's end here for today, thank you for talking with me and I hope this conversation has been helpful. Looking forward to seeing you again soon.",2,2,2,2
Do you think that sometimes you encourage people to behave the way you think they should?,0,1,1,1
Is there anything troubling in your life right now?,0,0,0,0
"That is fantastic! I could suggest a protocol to enhance your current mood, if you like.",1,2,2,2
"Thank you. I get the impression you are feeling {}, am I right?",1,0,0,0
I'd like to recommend the following protocols if that's ok with you. You can choose the one you prefer to view its content.,1,2,2,2
Thank you very much. I've got some questions now to help understand your situation.,1,2,1,1
I'm sorry to hear about that. Did this happen recently or a while ago?,1,1,2,1
"I really appreciate your effort, thank you for taking part. Let's talk again soon.",1,2,2,2
Did doing Protocol 11 upset you?,0,0,1,0
"Feeling anxious can be mixed up with other emotions too, and I'd like to see if you recognise any of the ones in this list, or if they seem familiar to you. Have you experienced any of the following emotions strongly before:",1,2,2,2
