,gender,age,emotion,base,rewriting,semantic,empathy
132,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,如何对你生活中发生的事情负责。你是否觉得自己总是要为出错的事情负责？,9,1
133,女性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,再次感谢您与我分享这个。如果你没问题，我想再问一些问题，以便更清楚地了解正在发生的事情。,4,2
134,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我想知道你的愤怒是否会被隐藏在表面之下的更大的东西触发。您最近在个人生活或职业生活中是否遇到了非凡的困难？,11,2
135,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,在您的生活中，您是否对其他人有以下任何情绪：,5,0
136,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,我很抱歉。你实际感觉如何？你能从下面的列表中选择它吗？,14,2
137,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,很高兴您能够识别出这一点。这是最近发生的事件还是前一段时间发生的事情？,1,2
138,男性,18-39,愤怒,这是由特别事件引起的吗？,你能告诉我，你对发生的某件事有这种感觉吗？,0,1
139,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你是否觉得自己受到了别人的负面影响？,7,0
140,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,有时，我们可能会感受到我们并不引以为豪的情绪，但识别它们、接受它们并理解它们仍然很重要。请问您是否对另一个人有以下情绪：,5,2
141,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,好的，谢谢，让我们看看我们是否可以深入了解这个问题。如果你不介意的话，我会再问你几个问题。,4,1
142,女性,18-39,愤怒,您觉得您在试图控制某人吗？,你认为你可能会以一种控制的方式行事吗？,8,1
143,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢分享。请让我问你几个问题，以便更好地了解我可以如何提供帮助。,4,1
144,男性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,你能想到有人说过的话改变了你的想法吗？,10,1
145,女性,18-39,所有情绪,感谢您的参与。再见,非常感谢您今天的诚实和努力，非常感谢。很快再见！,15,2
146,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你有没有觉得自己可能被别人害了？,7,1
147,女性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,很高兴听到这个。我正在考虑一项可能会让您感觉更好的协议，您想听更多吗？,12,2
148,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,谢谢你这么耐心的回答，我知道这可能很困难。如果可以的话，我想再问一些问题，以便我可以建议最佳的行动方案。,4,2
149,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的还是由于遥远过去的事件？,1,0
150,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,我很感激你与我分享。我还有几个问题。,4,1
151,女性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,感谢你的分享。我想问你一些问题，以便我能多了解一点。,4,1
152,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你觉得目前的愤怒可能与尝试协议 11 相关吗？,3,1
153,男性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您是否觉得自己正在经历一些精神或社交方面的弱点和问题？,11,0
154,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你有没有发现协议 6 带来的情况导致你变得无法控制情绪？,2,1
155,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您是否与生活中的任何人感受到或分享了以下任何感受：,5,0
156,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,我相信这些协议可能对您有益。看一看它们，然后告诉我您想尝试哪一个。,16,1
157,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,您是否觉得您对此不承担任何责任，而其他人应该为伤害您而负责？,7,1
158,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,我觉得你今天感觉很{}，是吗？,13,0
159,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,现在，我希望您回想一下您与朋友、家人或同事的对话。你觉得你善于倾听别人的意见，理解所有的观点吗？,10,2
160,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,你认为在你生命的这一刻，你应该专注于拯救别人吗？,6,0
161,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,我很抱歉听到这个消息。您想尝试其他协议吗？,19,2
162,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢你澄清这一点。我想知道，这个事件是最近发生的，还是更远的过去？,1,2
163,男性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,我有一些您可以尝试的协议的建议。请选择一项立即查看：,16,1
164,女性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,你生活中现在有没有什么大事让你有这种感觉？,11,0
165,女性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,你会说你善于从不同的角度看情况吗？,10,1
166,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,明白了，谢谢从你告诉我的情况来看，我会说你现在感觉{}，这听起来对吗？,13,2
167,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你会说你的感受可以归因于别人吗？,7,1
168,男性,40-69,所有情绪,感谢您的参与。再见,谢谢，非常感谢您参加本次活动。我期待着在不久的将来见到你。,15,2
169,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的，还是已经在你脑海中盘旋了一段时间的事情？,1,1
170,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,该协议是否让您感觉更好或更糟？,18,0
171,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,您是否发现自己对某人有强烈的感受或表达以下任何一种情绪：,5,1
172,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这真的很有帮助，谢谢。据您所知，执行协议 6 是否让您感到生气或不安？,2,2
173,男性,18-39,所有情绪,感谢您的参与。再见,谢谢你，你很棒，很高兴能一起解决这个问题。我希望你能很快回来。,15,2
174,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,我非常抱歉你正在处理困难的情绪。也许你觉得你应该在你的生活中拯救别人？,6,2
175,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,请帮助我进一步了解。这是最近发生的事件还是遥远的过去？,1,1
176,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的，还是你想起了更遥远的过去？,1,1
177,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,你发现自己相信你必须拯救别人吗？,6,0
178,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否尝试过协议 6 来回想这个事件，如果你有，记住这个事件是否会让人精神崩溃？,2,1
179,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您是否认为您可能正在经历个人危机，不再与您的支持网络保持联系？,11,1
