性别,年龄,悲伤 - 患者反应 1,悲伤 - 患者反应 2,悲伤 - 患者反应 3,悲伤 - 这是由特定事件引起的吗？,悲伤 - 这是由最近或遥远的事件（或事件）引起的吗？,悲伤 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 您最近是否尝试过协议 11 并发现由于旧事件而重新点燃了无法控制的情绪？,悲伤 - 谢谢。现在我会问一些问题以了解您的情况。,悲伤 - 您是否对某人有强烈的感受或表达以下任何情绪：,悲伤 - 你认为你应该成为别人的救世主吗？,悲伤 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,悲伤 - 你觉得你在试图控制某人吗？,悲伤 - 当出现问题时，您是否总是责怪和指责自己？,悲伤 - 在之前的对话中，您是否考虑过其他提出的观点？,悲伤 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,愤怒 - 患者反应 1,愤怒 - 患者反应 2,愤怒 - 患者反应 3,愤怒 - 这是由特定事件引起的吗？,愤怒 - 这是由最近或遥远的事件（或多个事件）引起的吗？,愤怒 - 您最近是否尝试过协议 6，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,愤怒 - 谢谢。现在我会问一些问题以了解您的情况。,愤怒 - 您是否对某人有强烈的感受或表达以下任何情绪：,愤怒 - 你认为你应该成为别人的救星吗？,愤怒 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,愤怒 - 你觉得你在试图控制某人吗？,愤怒 - 当出现问题时，您是否总是责怪和指责自己？,愤怒 - 在之前的对话中，您是否考虑过其他提出的观点？,愤怒 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,焦虑 - 患者反应 1,焦虑 - 患者反应 2,焦虑 - 患者反应 3,焦虑 - 这是由特定事件引起的吗？,焦虑 - 这是由最近或遥远的事件（或多个事件）引起的吗？,焦虑 - 您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,焦虑 - 您最近是否尝试过协议 11，并发现由于旧事件，这会重新点燃无法控制的情绪？,着急 - 谢谢。现在我会问一些问题以了解您的情况。,焦虑 - 您是否对某人强烈感受到或表达了以下任何情绪：,焦虑 - 你认为你应该成为别人的救星吗？,焦虑 - 您是否将自己视为受害者，将自己的负面情绪归咎于他人？,焦虑 - 你是否觉得你在试图控制某人？,焦虑 - 当出现问题时，您是否总是责怪和指责自己？,焦虑 - 在之前的对话中，您是否考虑过其他提出的观点？,焦虑 - 您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,快乐 - 患者反应 1,快乐 - 患者反应 2,快乐 - 患者反应 3,快乐 - 那很好！让我推荐一个您可以尝试的协议。,所有情绪 - 根据您所说的，我相信您正在感受{}。这个对吗？,所有情绪 - 我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,所有情绪 - 感谢您的参与。再见,所有情绪 - 这是我的建议，请选择您想尝试的协议,所有情绪 - 请现在尝试通过此协议。完成后，按“继续”,所有情绪 - 采取此协议后，您感觉更好还是更糟？,所有情绪 - 您想尝试另一种协议吗？ （病人感觉好多了）,所有情绪 - 您想尝试另一种协议吗？ （病人感觉更糟）
男性,30-39,我今天非常难过。我一直在想我的母亲，她最近去世了。这很困难。,我做得不是很好。我一直有人际关系问题。,不是很好，老实说。我只是最近似乎没有任何积极的感觉。,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,这是最近发生的事情还是很久以前发生的事情？,你最近是否尝试过协议 6，结果，过去发生的事情重新点燃了不受控制的情绪？,你最近有没有尝试过协议 11，结果，最近发生的事情重新点燃了不受控制的情绪？,非常感谢你与我分享这一点，我能体会到这种感觉。我只需要问几个问题就可以更好地了解您现在正在处理的问题。,您是否发现自己对某人有强烈的感受或表达以下任何一种情绪：,,,,,,,我现在很生气。我的搭档欺骗了我，这让我很沮丧。,我只是想打人，真的。我现在对一切都感到厌烦了。,我很生气。我的老板把我逼疯了，我的朋友一直向我要我帮不了他的忙。,你有这种感觉是因为发生了什么特别的事情吗？,这是因为最近或很久以前发生的事情吗？,我能理解你的心情。您是否尝试过协议 6 并发现自己因为过去的事件而感到无法轻松控制的情绪？,我能理解你的心情。您是否尝试过协议 11 并发现自己因为过去的事件而感到无法轻松控制的情绪？,感谢您与我分享这一点，我知道对这些事情诚实可能很难。现在我会问你几个问题，以便更好地了解你目前的情况。,您是否会说您对另一个人有强烈的感受或表达以下任何一种情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我真的很着急，我想我没有通过考试,一个朋友死了，我感到很失落,我无法处理日常任务，我感到非常不知所措,听到你很难过，我很抱歉。有什么事情让你难过吗？,这是因为最近或遥远的情况而发生的吗？,你能告诉我在尝试协议 6 重温过去的创伤事件后，你是否开始有这种感觉？,你能告诉我在尝试协议 11 重新审视最近发生的事件后，你是否开始有这种感觉？,到目前为止，感谢您的回答。如果可以的话，我会再问一些问题，以便更好地理解。,如果可以继续，你能告诉我你是否对某人表达过以下任何情绪：,,,,,,,我很生气，因为我被无故解雇了,我对我的搭档很生气，我发现他们出轨了,我的家人让我发疯，我受不了他们,我能理解你的心情。这些感觉是由特定的东西引起的吗？,感谢您的意见，很抱歉您必须处理这个问题。你能告诉我这是由最近还是遥远的事情引起的吗？,这真的很有帮助，谢谢。据您所知，执行协议 6 是否让您感到生气或不安？,这真的很有帮助，谢谢。据您所知，执行协议 11 是否让您感到生气或不安？,所有这些都非常有价值，感谢您到目前为止的回答。如果可以的话，我想问更多关于你的感受的问题。,您是否非常沮丧，以至于向其他人表达了以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,感觉不太好，我真的很挣扎。,其实，最近心情有点低落。,我想我要失望了。,是不是有什么特别的事情带来了这种感觉？,最近或遥远的事情是否触发了这些感觉？,您是否执行了协议 6 并让您感觉更糟？,您是否执行了协议 11 并且让您感觉更糟？,我知道你情绪低落，我很抱歉听到它。我们通过几个问题来研究一些可能会帮助您感觉更好的方法如何。,最近有没有这些感觉困扰着你：,,,,,,,我非常失望。,我一点都不好。,我没心情说话。,您是否因为某些特定的事情而感受到这些情绪？,请告诉我，这是最近发生的还是前一段时间发生的？,您是否尝试使用协议 6 并且它是否让您感到更加激动？,您是否尝试使用协议 11 并且它是否让您感到更加激动？,非常感谢。如果可以的话，让我们通过几个简单的问题来更好地了解情况。,最近有没有这些感觉困扰着你：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,事情可能会更好。由于压力，我最近一直感到悲伤和昏昏欲睡。,事情可能会更好。由于我的学校成绩，我最近陷入了困境。,一点都不好。我只想躲在我的房间里，从世界上所有的动荡中睡觉。,你能告诉我是否有特定的情况让你有这种感觉吗？,你觉得让你体验这些感觉的情况是最近的还是遥远的？,你觉得你最近的悲伤情绪可能是因为尝试了协议 6 吗？,你觉得你最近的悲伤情绪可能是因为尝试了协议 11 吗？,谢谢，希望我们能更好地了解您最近的困难。如果可以的话，我今天还有几个问题要问你。,您能否告诉我，您是否在表达或强烈感受以下列出的任何情绪时遇到困难：,,,,,,,我最近对正在发生的政治局势充满了愤怒和仇恨。,我只是想砸东西。我的老板最近很为难。,老实说，我现在可能会破坏某些东西。我的一门课没及格。,我很遗憾听到。在您的脑海中是否有让您有这种感觉的特定事件？,我想帮助您了解这种情况。你能告诉我这个事件是最近发生的还是更远的过去？,你觉得当前的愤怒可能与尝试协议 6 相关吗？,你觉得目前的愤怒可能与尝试协议 11 相关吗？,这是非常有帮助的。我今天还有几个问题要问你。,您是否觉得自己一直在为他人或自己的情绪调节而苦苦挣扎，并经历过以下任何一种情况：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,30-39,我今天很沮丧。,我感觉不太好——”我很沮丧。,由于某种原因，我今天感觉很忧郁。,有没有什么特别的事情让你有这种感觉？,这是刚刚发生的事情还是过去发生的事情？,您是否尝试完成协议 6 并且由于过去发生的事情而导致重新唤醒一些不好的感觉？,您是否尝试完成协议 11 并且由于最近发生的事情而导致重新唤醒一些不好的感觉？,谢谢你让我知道，我很感激。我现在想做的是问几个关于正在发生的事情的问题，这样我就可以更好地了解正在发生的事情。,您是否经历过以下任何关于某个人的强烈情绪，和/或您是否将这些情绪传达给该人：,,,,,,,我现在真的很生气。我刚刚和一个指责我没有做的事情的人发生了争执。,我很沮丧！无论我说什么，我的父母都不理解我。,我很生气，我的房东刚刚给了我一些可怕的消息。,你能告诉我，你对发生的某件事有这种感觉吗？,您是否对最近或很久以前发生的事情感到强烈？,无论如何，你是否完成了协议 6，这是否带来了与过去事物相关的不良情绪？,无论如何，您是否通过协议 11 并且这是否带来了与过去事物相关的不良情绪？,很高兴你能告诉我，谢谢。现在，如果你没问题，我想问你一些事情，这样我就可以确定现在发生了什么。,您能否告诉我，您是否对某个人有过以下强烈感受和/或是否让此人知道您的感受：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,今天不太好,我真的很难过，以至于我想哭一整天,我今天真的很沮丧,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,让你有这种感觉的事件是最近发生的还是很久以前发生的？,你最近是否尝试过协议 6，它是否带回了过去的一些艰难情绪？,你最近有没有尝试过协议 11，它是否让你从最近的过去恢复了一些艰难的情绪？,感谢分享。请让我问你几个问题，以便更好地了解我可以如何提供帮助。,您是否与某人讨论过，或者您是否有过以下强烈情绪：,,,,,,,我又开始真的生气了,对一切都很生气,我以为我在变好，但我真的又为事情生气了,我听你的。我可以问你是否有一个事件让你有这种感觉？,这是前一段时间的愤怒还是发生了一些新的事情来启动它？,您是否能够尝试协议 6，这是否让您感觉更糟？,您是否能够尝试协议 11，这是否让您感觉更糟？,谢谢。我希望你不介意我多问一些问题，这样我才能更好地理解。,您是否会说您对他人感受到或表现出以下任何负面情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,50-59,我感到很沮丧，因为连续一周都在下雨。,不太好;我错过了生日聚会，因为我生病了。,不是很好。我今天不得不加班两个小时。,是不是发生了什么特别的事情导致了这种情况？,这是最近发生的事情还是更遥远的事情？,您是否尝试使用协议 6，如果是，这是否会因为过去的事件而引发困难的情绪？,您是否尝试使用协议 11，如果是，这是否会因为最近发生的事件而引发困难的情绪？,感谢您到目前为止的答复。接下来的问题将有助于更好地了解您正在经历的事情。,您是否因对他人产生以下任何情绪而烦恼：,,,,,,,事实上，我这周都在加班，这让我很生气。,不太好，因为银行搞砸了我的支票账户。,其实，我很生气这个冬天买取暖油要花多少钱。,这是因为某些特定的事情而发生的吗？,这是最近发生的还是由于遥远过去的事件？,你有没有尝试过协议 6 并发现它因为过去的事件引发了强烈的负面情绪？,你有没有尝试过协议 11 并发现它因为过去的事件引发了强烈的负面情绪？,谢谢你的回应。接下来，会有一些问题，以便我们更好地了解您的情况。,您是否有过强烈的情绪，或向他人表达过以下任何一种情况：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,30-39,我只是感觉真的很沮丧。,我感觉不像往常快乐的自己。,我今天对自己真的很失望。,在您的个人生活中是否发生过任何事情导致这些感觉？,,您是否碰巧尝试过协议 6，您认为这可能是您产生这些负面情绪的原因吗？,您是否碰巧尝试过协议 11，您认为这可能是您产生这些负面情绪的原因吗？,感谢分享。如果你能接受的话，我还有几个问题。,您是否与生活中的任何人感受到或分享了以下任何感受：,,,,,,,我只是一直很生气,我什至不想谈论它,我只是随机有这些爆发,是不是有什么事情引起了这个？,我很抱歉听到这个。这是最近发生的，还是前一段时间发生的？,您是否能够尝试协议 6，并且您是否觉得它对您的情绪产生了负面影响？,您是否能够尝试协议 11，并且您是否觉得它对您的情绪产生了负面影响？,感谢你的分享。如果你不介意，我想问你更多。,在您的生活中，您是否有可能对他人感受到或表现出以下任何强烈情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
女性,40-49,我很郁闷。我找不到起床的动力。,糟糕的。男朋友甩了我,我很崩溃。我无法停止哭泣。我的狗今天被车撞死了。,请告诉我，这是由特定事件引起的吗？,明白了，谢谢这是由最近或遥远的事件（或事件）引起的吗？,你最近是否尝试过协议 6，如果你尝试过，它是否会从过去的事件中带来困难的情绪？,你最近是否尝试过协议 11，如果你尝试过，它是否从最近的事件中带来了困难的情绪？,谢谢你与我分享。现在我想问你一些问题，以便我能更好地了解你的情况。,我现在要给你看一份情绪清单。请告诉我您是否对某人有过强烈的感受或表达过以下任何情绪：,,,,,,,我很生气，因为我哥哥偷了我 50 美元。,我想砸人的脸。现在的人都是混蛋。,当我的车停在杂货店停车场时，有人刮伤了我，我很生气。,你心烦意乱的原因是特定的事件（或事件）吗？,我知道了。是最近或遥远的事件（或事件）让您感到不安吗？,您是否尝试过协议 6，如果尝试过，您是否发现它带来了过去的困难情绪？,您是否尝试过协议 11，如果尝试过，您是否发现它带来了过去的困难情绪？,你所经历的听起来很难。为了更好的了解你的情况，我现在再问你一些问题。,我现在要向你展示一份情绪清单。请告诉我您是否对某人有过强烈的感受或表达过以下任何情绪：,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
男性,40-49,我感到非常难过。昨晚我失去了亲人。,我下来了我考试不及格。,我一点都不舒服。事情只是出了问题。,在这种感觉之前发生了什么吗？,这个事件是最近发生的还是很久以前发生的？,,,我很感激你的分享。让我们再谈谈这个。,您是否感觉到或与其他人谈论过以下任何情绪：,,,,,,,我很生气。我老板给我写的！,我气得要死。我输了一个大赌注。,我生气了。我厌倦了我的妻子。,很抱歉你有这种感觉，我想知道更多关于发生的事情。这是由特定事件引起的吗？,这是最近发生的还是前一段时间发生的？,,,我能理解生气是什么感觉，并想提供帮助。如果你不介意的话，让我们多谈谈这个。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
