emotion,base,rewriting,semantic,transformation
悲伤,你能告诉我是否有特定的情况让你有这种感觉吗？,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,0,HIGH
悲伤,是不是有什么特别的事情带来了这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,有没有发生什么让你难过的事情？,0,HIGH
悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了你现在的感觉？,0,HIGH
悲伤,这是由特别事件引起的吗？,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,0,HIGH
悲伤,你的情绪是由什么特定的事情引起的吗？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,HIGH
悲伤,在这种感觉之前发生了什么吗？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0,HIGH
悲伤,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,0,LOW
悲伤,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,HIGH
悲伤,请告诉我，这是由特定事件引起的吗？,在这种感觉之前发生了什么吗？,0,LOW
悲伤,是不是发生了什么事情导致了你现在的感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,请告诉我这种感觉是否源于某个事件？,0,HIGH
悲伤,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,HIGH
悲伤,这是由特别事件引起的吗？,有没有发生什么事情让你有这种感觉？,0,HIGH
悲伤,这可能与特定事件有关吗？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,是否有什么特别的事情似乎引起了这种感觉？,0,HIGH
悲伤,有没有发生什么事情让你有这种感觉？,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,0,LOW
悲伤,这可能与特定事件有关吗？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,0,HIGH
悲伤,有没有发生什么特别的事情让你有这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,你能告诉我这是否是由特定事件引起的吗？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,HIGH
悲伤,有没有发生什么事情让你有这种感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,是不是有什么特别的事情带来了这种感觉？,0,LOW
悲伤,是不是发生了什么特别的事情导致了这种情况？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0,HIGH
悲伤,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,这是由特别事件引起的吗？,0,LOW
悲伤,你还记得是否有什么事情让你有这种感觉吗？,这是由特别事件引起的吗？,0,LOW
悲伤,你能想到让你开始有这种感觉的具体事件吗？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,HIGH
悲伤,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,请告诉我，这是由特定事件引起的吗？,0,HIGH
悲伤,有没有发生什么让你难过的事情？,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,0,HIGH
悲伤,你的情绪是由什么特定的事情引起的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,我明白。是否发生了特定事件使这发生？,0,HIGH
悲伤,请告诉我，这是由特定事件引起的吗？,这可能与特定事件有关吗？,0,LOW
悲伤,谢谢你。有没有发生什么让你难过的事情？,这是由特别事件引起的吗？,0,LOW
悲伤,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,0,LOW
悲伤,请告诉我这种感觉是否源于某个事件？,你能告诉我是否有特定的情况让你有这种感觉吗？,0,LOW
悲伤,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,是否有什么特别的事情似乎引起了这种感觉？,0,LOW
悲伤,我很抱歉听到这个。是不是有什么特别的事情导致了这种感觉？,我明白。是否发生了特定事件使这发生？,0,LOW
悲伤,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,HIGH
悲伤,在您的个人生活中是否发生过任何事情导致这些感觉？,这是由特别事件引起的吗？,0,LOW
悲伤,这是因为什么特别的事情吗？,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,0,LOW
悲伤,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,有没有发生什么让你难过的事情？,0,LOW
悲伤,这是由特别事件引起的吗？,你能告诉我这是否是由特定事件引起的吗？,0,HIGH
悲伤,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,我明白。是否发生了特定事件使这发生？,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,0,HIGH
悲伤,这可能与特定事件有关吗？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0,HIGH
悲伤,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,在您的个人生活中是否发生过任何事情导致这些感觉？,0,HIGH
悲伤,这是由特别事件引起的吗？,这是因为什么特别的事情吗？,0,HIGH
悲伤,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,你还记得是否有什么事情让你有这种感觉吗？,0,LOW
悲伤,这是由特别事件引起的吗？,你能想到让你开始有这种感觉的具体事件吗？,0,HIGH
悲伤,是不是发生了什么事情导致了这种情况？,这是由特别事件引起的吗？,0,LOW
悲伤,你能告诉我这是否是由特定事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0,HIGH
悲伤,你能想到让你开始有这种感觉的具体事件吗？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0,HIGH
悲伤,是否有什么特别的事情似乎引起了这种感觉？,我很抱歉听到这个。会不会是因为某个事件？如果是这样，我希望这对你来说不是太难。,0,HIGH
悲伤,我明白。是否发生了特定事件使这发生？,这是由特别事件引起的吗？,0,LOW
悲伤,你能告诉我是否有特定的情况让你有这种感觉吗？,请问，有什么具体原因吗？,0,HIGH
悲伤,你能告诉我这是否是由特定事件引起的吗？,这是由特别事件引起的吗？,0,LOW
悲伤,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,0,LOW
悲伤,是不是发生了什么事情导致了你现在的感觉？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0,HIGH
悲伤,这是由特别事件引起的吗？,在这种感觉之前发生了什么吗？,0,HIGH
悲伤,有什么特别让你有这种感觉的吗？,有没有发生什么事情让你有这种感觉？,0,HIGH
悲伤,我很遗憾听到你感到难过。你知道是什么导致了这种悲伤的感觉，这是一个特定的事件吗？,有没有发生什么特别的事情让你有这种感觉？,0,LOW
悲伤,哦，听到这个我很抱歉。是特定情况导致的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,是不是发生了什么事情导致了你现在的感觉？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0,HIGH
悲伤,这是因为什么特别的事情吗？,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,0,LOW
悲伤,有没有发生什么让你难过的事情？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,0,HIGH
悲伤,有没有发生什么特别让你感到难过的事情？不介意的话请告诉我。,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,0,HIGH
悲伤,这是由特别事件引起的吗？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,0,HIGH
悲伤,这是由特别事件引起的吗？,请问，有什么具体原因吗？,0,HIGH
悲伤,在您的个人生活中是否发生过任何事情导致这些感觉？,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,0,LOW
悲伤,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,有没有发生什么特别的事情让你有这种感觉？,0,LOW
悲伤,有没有发生什么事情让你有这种感觉？,有没有什么特别让你感到难过的事情？,0,LOW
悲伤,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,有没有什么特别的事情让你有这种感觉？,0,HIGH
悲伤,谢谢你。有没有发生什么让你难过的事情？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,HIGH
悲伤,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,0,LOW
悲伤,这是由特别事件引起的吗？,如果您不介意分享，您是否因为某个特定事件而有这种感觉？,0,HIGH
悲伤,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,听到你很难过，我很抱歉。有什么事情让你难过吗？,0,HIGH
悲伤,你能告诉我是否有特定的情况让你有这种感觉吗？,这是由特别事件引起的吗？,0,LOW
悲伤,你还记得是否有什么事情让你有这种感觉吗？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,0,HIGH
悲伤,请告诉我这种感觉是否源于某个事件？,有没有什么特别的事情让你有这种感觉？,0,LOW
悲伤,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,这是由特别事件引起的吗？,0,LOW
悲伤,这是由特别事件引起的吗？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,有什么特别让你有这种感觉的吗？,0,HIGH
悲伤,这种感觉是由特定事件引起的吗？,我很抱歉听到这个。你能找出让你有这种感觉的具体事件吗？,0,HIGH
悲伤,这是由特别事件引起的吗？,你的情绪是由什么特定的事情引起的吗？,0,HIGH
悲伤,有没有什么特别让你感到难过的事情？,我很遗憾听到你感觉不舒服。有什么特别的事情让你有这种感觉吗？,0,HIGH
悲伤,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,这是由特别事件引起的吗？,0,LOW
愤怒,有没有一件特别的事情让你有这种感觉？,谢谢你，我知道你现在很不高兴，但如果你能告诉我更多，我将非常感激。是否有特定事件引起了您的愤怒？,0,HIGH
愤怒,我明白了，谢谢你对我敞开心扉。是不是发生了什么事情导致了这个？,你能告诉我，你对发生的某件事有这种感觉吗？,0,HIGH
愤怒,哦，那不好。是不是有什么东西触发了这种感觉？,谢谢，我想更好地了解正在发生的事情。请告诉我，这是由特定事件引起的吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,是不是发生了什么特别的事情导致了这种情况？,0,HIGH
愤怒,这是由特别事件引起的吗？,谢谢，我想更好地了解正在发生的事情。请告诉我，这是由特定事件引起的吗？,0,HIGH
愤怒,是特殊情况造成的吗？,谢谢，我想更好地了解正在发生的事情。请告诉我，这是由特定事件引起的吗？,0,HIGH
愤怒,是不是有什么事情引起了这个？,谢谢，我想更好地了解正在发生的事情。请告诉我，这是由特定事件引起的吗？,0,HIGH
愤怒,是否有特定事件导致了这种情况？,这是由特别事件引起的吗？,0,LOW
愤怒,是不是发生了什么特别的事情激起了你的愤怒？,你觉得这可能是单一事件的结果吗？,0,HIGH
愤怒,是不是发生了什么特别的事情激起了你的愤怒？,这是由特别事件引起的吗？,0,LOW
愤怒,有什么特别的事情让你有这种感觉吗？,我能理解你的心情。这些感觉是由特定的东西引起的吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,是否有特定事件导致了这种情况？,0,HIGH
愤怒,有这种感觉没关系。请问这是否是由特定事件引起的？,您是否因为某些特定的事情而感受到这些情绪？,0,LOW
愤怒,你能告诉我你的愤怒是否是由特定事件引起的吗？,是不是有什么事情引起了这个？,0,LOW
愤怒,这是因为某些特定的事情而发生的吗？,你能告诉我你的愤怒是否是由特定事件引起的吗？,0,HIGH
愤怒,有什么特别的事情让你有这种感觉吗？,这是由特别事件引起的吗？,0,LOW
愤怒,这是由特别事件引起的吗？,你一定很难有这种感觉。这是由特定的东西触发的吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,你能告诉我是不是有什么特殊情况导致了这种情况？,0,HIGH
愤怒,我理解，我很抱歉你有这种感觉。这是由特定事件引起的吗？,这是由特别事件引起的吗？,0,LOW
愤怒,哦，那不好。是不是有什么东西触发了这种感觉？,这是由特别事件引起的吗？,0,LOW
愤怒,这是由特别事件引起的吗？,我很遗憾听到它，这是我们所有人有时都会经历的事情。你能告诉我这些感觉是否来自特定的事件？,0,HIGH
愤怒,这是由特定情况引起的吗？,这是由特别事件引起的吗？,0,LOW
愤怒,这是由特别事件引起的吗？,在某件事发生后，你有没有这些感觉？,0,HIGH
愤怒,没关系，我是来帮忙的。有什么特别让你有这种感觉的吗？,这是由特别事件引起的吗？,0,LOW
愤怒,是不是发生了什么特别的事情激起了你的愤怒？,你能告诉我，你对发生的某件事有这种感觉吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,感谢您与我分享您的感受，尽管现在对您来说可能很困难。你认为你的感觉可能是由某些特定的事情引起的吗？,0,HIGH
愤怒,明白了，谢谢分享有没有发生什么让你有这种感觉的具体事情？,这是由特别事件引起的吗？,0,LOW
愤怒,哦，我很遗憾听到它，我想更多地了解是什么让你有这种感觉。是因为某个特定的事件吗？,你能告诉我，你对发生的某件事有这种感觉吗？,0,HIGH
愤怒,谢谢你，我知道你现在很不高兴，但如果你能告诉我更多，我将非常感激。是否有特定事件引起了您的愤怒？,你能告诉我是不是有什么特殊情况导致了这种情况？,0,LOW
愤怒,我能理解。您会说这是由特定原因引起的吗？,谢谢，我想更好地了解正在发生的事情。请告诉我，这是由特定事件引起的吗？,0,HIGH
愤怒,我听你的。我可以问你是否有一个事件让你有这种感觉？,你觉得这可能是单一事件的结果吗？,0,HIGH
愤怒,是不是发生了什么特别的事情导致了这种情况？,这是由特别事件引起的吗？,0,LOW
愤怒,这是由特别事件引起的吗？,这是因为某些特定的事情而发生的吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,你心烦意乱的原因是特定的事件（或事件）吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,我能理解。您会说这是由特定原因引起的吗？,0,HIGH
愤怒,这是由特别事件引起的吗？,我听你的。我可以问你是否有一个事件让你有这种感觉？,0,HIGH
愤怒,我很遗憾听到。在您的脑海中是否有让您有这种感觉的特定事件？,很抱歉你有这种感觉，我想知道更多关于发生的事情。这是由特定事件引起的吗？,0,LOW
愤怒,有这种感觉没关系。请问这是否是由特定事件引起的？,谢谢你，我明白现在处理这种感觉有多难，希望我能帮助你感觉更好。你能告诉我是否有特定的事件让你有这种感觉吗？,0,LOW
愤怒,我听你的。我可以问你是否有一个事件让你有这种感觉？,你能告诉我，你对发生的某件事有这种感觉吗？,0,HIGH
