response,annotator1_score,annotator2_score,annotator3_score,empathy_score
谢谢，很高兴与您交谈。我希望我们很快再见面。,2,2,2,2
谢谢你这样做。它有什么不同吗？你现在感觉好些还是更糟？,1,2,1,1
你会说当其他观点出现在之前的谈话中时，你能够真正考虑到其他观点吗？,1,0,1,1
您是否考虑过可能改变您对当前情况的看法的各种观点和观点？,1,0,1,1
您最近是否尝试过协议 6，如果您尝试过，它是否会引起过去事件的困难情绪？,1,1,0,1
我明白了，谢谢。你觉得你是别人行为的受害者吗？,1,1,1,1
你是否总是觉得你要为实际上超出你控制范围的事情负责？,1,0,1,1
您可能知道，协议 6 可用于检查此类事件。你有任何使用协议 6 的经验吗？如果是这样，您是否发现它使与过去事件相关的困难情绪浮出水面？,2,1,2,2
既然协议已经完成，你的感觉和之前的感觉有什么不同吗？,1,0,1,1
非常感谢你向我敞开心扉，告诉我你的感受。我很高兴我们可以进行这次聊天，如果您需要我，我就在这里。,2,2,2,2
从您告诉我的情况来看，您感觉{}，对吗？,0,1,1,1
现在，这样做后立即感觉好或坏是完全正常的。你会说你完成协议后感觉如何？,1,2,2,2
你觉得你总是让自己成为事情出错的原因吗？,0,0,0,0
我可以看出您可能会感觉{}，这是准确的吗？,1,2,2,2
你觉得你是这里的受害者吗？,0,0,1,0
你认为你可能对别人表现出控制行为吗？,1,1,1,1
听到你感到焦虑，我很抱歉。是不是发生了什么事情引发了这些焦虑的情绪？,2,1,2,2
好的，别担心，我还有一些可能对你更有效的方法。你想尝试不同的吗？,1,2,1,1
你认为你总是为不是你的错的事情承担责任吗？,1,0,1,1
你说你有焦虑的感觉，不知道你是否还记得你对另一个人有没有其他强烈的情绪。您是否认为其中任何一项可能适用于您最近的感受：,2,2,2,2
请通读协议信息，当您觉得自己理解并准备好开始时，尝试按照自己的方式进行操作。完成后请按“继续”。,1,2,2,2
哦，我很高兴听到这个消息！感觉快乐/满足是我们都想保持的，所以我可以推荐一个治疗方案，你可以用来增强和保持这种积极的感觉吗？,2,2,2,2
是不是发生了什么事情导致了这种感觉？,0,0,1,0
很抱歉听到您的麻烦，我随时为您提供帮助。您现在与任何亲人有困难吗？,2,2,2,2
你是否对发生的事情负责，或者你觉得别人应该为你的负面情绪负责？,0,1,2,1
那是不幸的。你有没有尝试过协议 6，它是否引发了你对这个事件所感受到的同样困难的情绪？,1,0,0,0
您是否考虑过其他人会如何看待这种情况？,0,1,1,1
你愿意在人际关系中占据主导地位吗？,0,0,1,0
这发生在多久以前，是最近还是遥远？,0,0,0,0
你总是愿意听取别人的建议吗？,0,0,0,0
并非每个协议都适用于每个人，这没关系，我建议不要放弃并再次尝试。你想一起尝试另一个吗？,2,2,2,2
您是否碰巧尝试了协议 11，您认为这可能是您产生这些负面情绪的原因吗？,1,2,2,2
当情况出现问题时，您是否觉得自己总是要承担责任？,1,2,1,1
你的悲伤会导致你对某人变得操纵吗？会不会是你试图让某人做某事或说某事以使自己感觉更好？,1,2,2,2
我认为协议 11 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过第 11 号议定书，你能告诉我它是否会因为旧事件带来无法控制的情绪吗？,2,1,2,2
考虑到您的情况，我想为您推荐这些协议。请让我知道您希望从哪个协议开始。,1,0,2,1
你能告诉我这个或这些事件是最近发生的还是过去发生的？,1,0,1,1
在过去的谈话中，你真的努力去理解别人的观点吗？,0,0,0,0
我很遗憾听到它。这是什么时候发生的，最近还是不久前？,1,1,1,1
你有没有对别人有过这样的感觉：,0,0,0,0
那么，在完成协议后，您现在感觉如何，是好是坏？,0,0,1,0
您是否觉得对他人负责，以至于您可能试图改变或纠正他们的行为？,1,1,2,1
我希望你能应付。你介意我问你某个特定事件或问题是否引起了你的焦虑吗？,2,2,2,2
如果我可以问一下，您目前在个人事务上是否有任何问题？,2,1,1,1
我希望你现在开始协议。然后当你完成时，只需按“继续”。,0,0,0,0
谢谢你，非常感谢你参加这个活动。我期待着在不久的将来见到你。,2,1,2,2
当事情出错时，你是否总是认为自己应该受到指责？,0,1,0,0
你做得很好，我想帮助你感觉更好，试着了解你的情况。可以再问一些问题吗？,2,2,2,2
是不是感觉现在正在发生什么真正的大事，比如个人危机？,0,0,1,0
您最近是否尝试过协议 11，并且可能发现这并没有像您希望的那样有所帮助？,1,2,2,2
你觉得你受到了别人的负面影响吗？,1,0,2,1
你觉得将自己的问题和感受归咎于他人更容易或更自然吗？,0,1,1,1
我期待着在未来与您进行更多富有成果的交流。,1,0,0,0
我明白了，也许你的悲伤可能是因为无法从别人那里得到你需要或期望的东西。会不会是您试图控制某人但无法控制，这让您感到沮丧？,2,2,2,2
发生的事情是最近发生的还是很久以前发生的？,0,1,1,1
你相信你是受害者吗？,0,0,0,0
你现在感觉如何？有帮助吗？,0,1,0,0
你觉得你必须照顾其他人吗？,0,0,1,0
谢谢你和我分享你的感受。为了了解您的情况，经您同意，我现在想问您一些问题。,2,2,2,2
您能否告诉我，您是否在尝试使用协议 11 重新审视过去的创伤事件后开始有这种感觉？,1,2,1,1
这是您一直担心的事情，还是您脑海中的新事物？,1,1,1,1
你介意告诉我这是什么时候发生的，是最近发生的还是遥远的？,1,2,1,1
您想换一个不同的再试一次吗？,0,1,1,1
现在，在你的朋友或家人的圈子里，有没有什么事情困扰着你？,0,1,0,0
你是否总是因为发生在你身上的负面事情而对自己感到内疚或生气？,0,0,0,0
你觉得你应该成为别人的救世主吗？,0,0,1,0
非常感谢您的时间和努力。祝你有美好的一天！,1,0,1,1
我明白了，谢谢。这个事件是最近发生的还是不久前发生的？,1,1,2,1
想一想，你会不会说，当问题出现时，你总是倾向于责备自己？,1,2,0,1
您今天似乎有{}的感觉，这是否足够准确地描述您的感受？,1,1,2,1
你现在的事情一定很困难，所以我想知道有没有什么大事发生。在你的生活中有什么事情让你感觉比平常更重要吗？,2,2,2,2
我很抱歉听到这个消息，我希望你不介意进一步详细说明。这是最近发生的，还是过去更远？,2,2,2,2
如果我可以问，你觉得你现在想控制你生活中的某个人吗？,2,1,2,2
你是否总觉得出错的事情是你的错？,0,0,0,0
我明白了，谢谢。听完您的顾虑后，我想您的感受是{}，这是真的吗？,1,2,2,2
您是否总是倾听生活中的人的意见，并在与他们交谈时考虑他们对事物的看法？,0,1,1,1
你感觉更好还是更糟？,0,0,0,0
我们过去的事件可能会引发高涨的情绪。在执行协议 11 时，您是否经历过强烈的负面情绪？,1,1,2,1
哦，我很遗憾听到这个消息。是特定情况造成的吗？,1,2,2,2
没关系。既然你已经完成了协议，你能说你感觉比开始之前更好还是更糟？,1,1,1,1
如果我可以问这个，你是否总是认为自己对发生的任何事情都有过错？,2,1,1,1
您的参与非常宝贵，非常感谢，感谢您的宝贵时间。我希望很快能见到你。,2,2,2,2
感觉自己的感觉是可以的。你相信你是你情绪低落的受害者吗？,2,1,2,2
我很遗憾听到这个消息。你想尝试不同的协议，看看它是否效果更好？,1,2,2,2
您是在回忆遥远过去的事情还是最近的事情？,1,0,1,1
我明白了，谢谢。你觉得别人应该为你的悲伤负责吗？,1,2,1,1
当出现问题时，您是否总是不断地责备和指责自己，即使在内心深处您可以认识到这不是您自己的错？,1,1,0,1
您是否对一个或多个人有以下任何感觉：,0,0,0,0
你会说服用后感觉更好还是更糟？,1,0,1,1
你觉得成为别人的救星是你的责任吗？,0,1,1,1
我现在要问你一些其他的负面情绪。你能告诉我你最近是否对某人有过这些情绪：,2,0,1,1
你会因为你现在的感受而责怪别人吗？,0,0,1,0
我这里有一些协议，我想让你看看，我认为它们可能会对你有所帮助。请选择您想尝试的协议：,2,2,2,2
我希望这对你来说是一次积极的经历。请问您现在感觉比开始方案之前好还是坏？,2,2,2,2
我了解您感到焦虑。请你能告诉我更多关于这个的信息吗？焦虑是由于特定事件或事件引起的吗？,2,1,2,2
您是否会说您一直仔细考虑其他人在之前的讨论中可能向您提出的观点和论点？,1,2,1,1
再次感谢您，这有助于我理解。会不会是你试图控制或操纵别人去做你想让他们做的事情？,2,2,2,2
这是最近发生的事件还是遥远的事件？,0,0,0,0
在这种感觉之前发生了什么事吗？,0,0,1,0
在这个时间点，你的生活中有什么重大的冲突吗？,0,0,1,0
这种感觉是你做协议 6 的结果吗？,0,0,0,0
在您自己的时间继续执行该协议。完成后，请记住单击“继续”。,1,0,1,1
最近，您的焦虑是否导致您对其他人产生以下任何不受欢迎的情绪：,0,1,1,1
这是最近发生的，还是前段时间发生的？,0,0,1,0
这是最近的还是遥远的？,0,0,0,0
请问你最近压力大吗？,2,1,1,1
我明白。我相信您会感到{}，您会说这是正确的吗？,1,1,2,1
我很遗憾听到这个消息。是否有特定事件可能导致您有这种感觉？,2,1,2,2
这个协议是否改变了你的感觉，无论是好是坏？,0,1,1,1
如果您愿意，我可以建议另一种可以提供帮助的协议。,1,1,0,1
你想尝试一些可能更合适的不同的东西吗？,1,1,1,1
很高兴您已经认识到自己目前的感受，让我们看看我们是否可以识别其他一直困扰您的负面情绪。您最近是否对任何人感到或表达过以下任何一种情况：,2,2,2,2
谢谢你回答。你有没有想过拥有不同于你自己的观点会是什么样子？,1,0,0,0
你觉得你被期望去拯救别人吗？,1,0,1,1
那是不幸的。你有没有尝试过协议 6，它是否引发了你对这个事件所感受到的同样困难的情绪？,1,1,2,1
感谢您与我分享，让我们再深入一点。我现在想再问你一些问题，以便我能提供帮助。,2,2,2,2
在之前的对话中，您是否能够考虑其他人的观点？,0,1,0,0
我真的很想很快再见到你，所以请在你有空的时候光临。,1,1,2,1
你是否经常觉得拯救别人是你的工作，或者别人期望你那样做？,1,1,2,1
感谢您如此耐心和合作。如果你不介意，我希望你告诉我，如果你觉得你此刻正在挣扎。,2,2,2,2
有什么特别的事情可以让你回忆起可能让你有这种感觉的吗？,0,2,1,1
如果你想一想，你现在想要控制你生活中的某个人吗？,0,1,1,1
谢谢分享，我知道有时候很难。我们能多谈谈你目前的个人情况吗？,2,2,2,2
你现在因为别人而感到难过吗？,0,0,0,0
您是否在个人生活中遇到任何困难或面临危机？,0,0,1,0
哦不，那一定很难。这是最近的还是遥远的？,1,2,2,2
你总是觉得你需要拯救你生命中的人吗？,0,0,1,0
您是否正处于个人性质的创伤之中，例如与家人或朋友相处时遇到困难？,0,1,1,1
谢谢你。我知道您的感受{}，对吗？,1,1,1,1
它是最近发生的，还是过去的事件仍在影响您？,1,0,1,1
有没有发生什么特别让你感到难过的事情？,0,1,1,1
你认为你有可能只是试图控制另一个人的一举一动吗？,1,0,1,1
您是否觉得这些焦虑感可能是由对某人的任何其他情绪引起的，例如：,1,1,1,1
感谢您花时间完成协议。它让你感觉如何——更好还是更糟？,2,1,2,2
你是否感到肩上的重担要拯救他人？,0,1,1,1
那件事是最近发生的，还是在你过去更久远？,0,1,1,1
你是否觉得有人不接受你的权威，但他们应该接受？,1,1,0,1
您是否充分考虑过过去与之交谈过的人的观点？,0,0,1,0
我想知道你的悲伤是否可能源于更广泛的问题。您是否在生活中遇到任何重大问题，例如您是否与所爱的人闹翻了？,2,1,2,2
如果你不介意，我会再问你几个问题。,0,1,1,1
现在你已经尝试了这个协议并到达了终点，你对你的情况感觉更好还是更糟？,1,0,1,1
我觉得你今天感觉很{}，对吗？,0,1,0,0
您是否认为当事情没有按计划进行时，您应该始终对自己严格要求？,0,0,1,0
没关系，谢谢你让我知道。你是否觉得，也许是某人或某事造成了你的负面情绪？,2,1,2,2
你会说别人让你有这种感觉吗？,1,0,2,1
很抱歉让您受到伤害，在我尝试进一步调查此问题时，请多多包涵。我想再问你一些问题，以便我能更好地了解情况。,2,2,2,2
我很抱歉你正在经历这个。您最近是否尝试过第 6 号议定书，并发现由于旧事件而重新点燃了无法控制的情绪？,2,2,2,2
感谢您花时间完成协议。它让你感觉如何——更好还是更糟？,2,1,2,2
那么，在完成协议后，您现在感觉如何，是好是坏？,0,0,0,0
用你自己的话来说，你能具体说明你的感受吗？,1,2,2,2
你会说你通常会听别人的意见吗？,1,0,1,1
当不好的事情发生时，你是否总是对自己生气？,0,0,1,0
你能表达一下你现在已经完成了这个协议的感受吗？,1,1,2,1
请问您现在是否觉得自己是受害者，而其他人要为您的悲伤负责？,2,1,1,1
下面的问题可能感觉有些直接，但请尽量如实回答。你会说你现在觉得有必要控制某人或某事吗？,2,1,2,2
我现在要向你展示一份情绪清单。请告诉我您是否对某人有过强烈的感受或表达过以下情绪：,1,2,1,1
您是否对生活中的任何人强烈感受到或表达过以下任何情绪：,1,0,0,0
您现在在与他人的关系中是否遇到重大困难或挑战？,1,1,1,1
你喜欢想象自己有时会掌权并控制他人吗？,1,0,1,1
好的，然后你想要如何表现。现在是否有任何冲动试图控制你生活中的某个人？,1,0,1,1
你会说一出事就总是责备自己吗？,1,1,1,1
每当有人向您介绍这些观点时，您是否尝试过仔细观察他人的观点？,0,0,1,0
很高兴听到你有这种感觉。我有一个协议可以增强这种积极的感觉，你想试试吗？,2,2,2,2
这是最近发生的事情，还是仍然在你脑海中的过去的事情？,1,0,1,1
我很抱歉。请告诉我你的真实感受。,1,1,2,1
谢谢，感谢您与我分享，我知道这可能很困难。我想再问几个问题，以更好地了解您的情况。,2,2,2,2
我很遗憾听到这个消息。会不会是因为某个事件？,2,1,1,1
你有没有想过别人的观点，你有没有花时间去探索它们？,0,0,1,0
我听听你的感受。为了支持你，你能告诉我是否有一个特定的事件导致了你的感受吗？,2,2,2,2
每个人一整天都在处理很多情绪，并不是所有的情绪都是积极的。我想问一下你最近是否特别感受到了这些情绪：,2,1,2,2
感谢您分享这个。你能告诉我你是否把自己视为受害者，把你的消极情绪归咎于别人？,2,2,2,2
如果你有兴趣，我想你会喜欢的协议。,0,1,0,0
是不是有时，您将自己犯的错误归咎于他人，或者倾向于摆脱内疚？,2,1,2,2
感谢您到目前为止的回复。如果你不介意，我会再问你几个问题。,1,1,2,1
是不是因为你感到难过而责备其他人？,1,0,0,0
好的，谢谢你，让我们看看能不能把这件事弄清楚。我们如何回答几个问题并研究一些可能会帮助您感觉更好的方法。,1,1,2,1
谢谢你的开放。从您的回答来看，我认为您感觉{}，我这样说对吗？,2,1,2,2
你是否尝试过使用协议 11，如果是，这是否会因为过去的事件而引发困难的情绪？,1,1,1,1
由于与亲近的人的关系出现问题，您是否觉得自己正在经历个人危机？,2,1,1,1
我觉得你选的不错，请尽你所能。完成后点击“继续”，我们可以从上次中断的地方继续。,2,0,1,1
你是否感觉到或在想任何让你有拯救别人的冲动的事情？,1,0,1,1
知道您的感受对我很重要，我需要询问您之前与协议的互动。你最近有没有尝试过协议 11，如果有的话，它是否会为你回忆起这些事件而引发困难的情绪？,2,2,2,2
想想最近和最近发生的事件，你有没有想要拯救别人的印象？,1,1,2,1
我想知道，您是否尝试过仔细聆听并考虑您所爱的人提出的其他观点？,2,1,1,1
也许，你正在逃避对你的行为负责，只是为了你的感受而责备别人？,2,1,2,2
好的！我有一些协议建议，希望能保持你的好心情。,2,1,1,1
你现在一定很痛。你能分享一下这个事件是最近的还是很久以前的？,2,2,2,2
您是否有可能强迫其他人，也许是您关心的人，以您想要的方式行事？,2,1,2,2
我知道焦虑的感觉可能很可怕。有没有什么特别的东西让你有这种感觉？,2,2,2,2
在回答下一个问题之前，请尝试深入了解您与他人的关系。你有任何想法，你可以控制别人或试图控制他们？,2,1,2,2
遵循协议后，您现在感觉好些了吗？,0,0,0,0
我明白了，我很遗憾听到这个消息。你觉得不同的协议可能会有所帮助吗？,1,2,2,2
我很遗憾听到这个消息。有没有什么特别让你有这种感觉？,1,2,2,2
好的我明白了。您是否感到生活中其他人的压力，或以任何方式受害？,1,0,1,1
您是否认为您可能需要控制某人，让他们做或说您想要的，以减少愤怒？,1,0,0,0
您是否觉得有人以任何方式伤害了您？,1,1,0,1
你会说当其他观点出现在之前的谈话中时，你能够真正考虑到其他观点吗？,0,1,0,0
谢谢你回答。当事情没有如你所愿时，你是否觉得你总是在责备和指责自己？,1,2,2,2
很抱歉听到您今天感到焦虑，这对您来说一定很难。你今天有这种感觉有什么特别的原因吗，是不是发生了什么？,2,2,2,2
你能告诉我你是否曾经强烈地感受到或表现出对其他人的这些情绪：,1,2,1,1
你觉得你现在感觉如何，完成了协议？,1,0,1,1
我认为以下协议会对您有所帮助。您可以选择您认为目前最适合您的那个。,1,1,2,1
这件让你感到焦虑的事情——它是最近发生的还是不久前发生的？,1,0,0,0
在你自己的时间里，看看这个协议并尝试完成它。完成后可以按“继续”。,2,2,2,2
这是你做协议 11 的结果吗？,0,0,1,0
谢谢你和我分享，你做得很好。你介意我再问你一些问题，以便我能更好地了解你的情况吗？,2,2,2,2
感谢您的分享。我现在有一些问题可以帮助您了解您的情况。,0,1,1,1
谢谢你让我知道，我非常抱歉你有这种感觉。是不是有什么特别的东西带来了这种感觉？,2,2,2,2
有时它可以帮助通过协议 6 解决与过去的创伤事件相关的焦虑。你是否已经尝试过协议 6，如果是，你是否真的发现它带来的情绪太强烈了？,2,1,2,2
很抱歉，它没有为您解决，但是我可以推荐其他选择。你想试试另一个吗？,1,2,2,2
对不起，让你感觉更糟了。您是否准备好尝试不同的协议，这可能对您更有效？,1,2,2,2
你会说，在内心深处，你最近在控制别人的过程中找到了安慰吗？,0,0,1,0
谢谢你的回复，很有帮助。试着从外面看自己，你是否觉得自己在控制或试图控制别人的行为？,2,1,2,2
啊，我明白了。你会说这是最近发生的事件还是遥远的事件？,0,0,1,0
感谢您在本次会议期间的时间和合作。我期待很快再举行一次会议。,1,2,2,2
请在下面找到我的建议。在以下协议中，您现在想尝试哪一种？如果是，请选择它。,1,2,2,2
你是否认为，也许，你没有为自己的感受承担全部责任，而这导致你猛烈抨击别人？,2,1,2,2
你想控制局势，还是要控制另一个人？,0,0,1,0
情绪通常很难识别，我认为你做得很好。重要的是我们要了解我们的情绪是从哪里来的，所以我想问你最近是否有这些感觉：,2,2,2,2
很遗憾，一个不适合你，但我们会找到一个有效的协议。还有其他可能更适合您的协议，您想尝试一个吗？,2,1,2,2
感谢您的分享，很抱歉您正在经历这些。我只想再问一些问题，以便更好地了解您现在的感受。,2,2,2,2
您是否尝试遵循协议 11，如果这样做让您感到不安？,0,0,1,0
我明白了，谢谢。你会说这件事发生在最近，还是你还记得更远的过去？,2,2,2,2
这是最近发生的吗？,0,0,0,0
这是刚刚发生的事情还是过去发生的事情？,0,0,1,0
太好了，当你准备好时，你可以通过这个协议。完成后，按“继续”。,2,1,1,1
感到焦虑并完全可以理解是可以的。我只需要知道你最近是否曾试图回忆过去的这件事并觉得很痛苦？,2,2,2,2
你会说你曾经能够真正跳出自我，从不同的角度思考情况吗？,1,0,1,1
你最近是否通过协议 6 重新审视了这一事件的创伤，这就是你现在感到焦虑的原因吗？,0,1,1,1
请问您是否能够考虑其他人的观点？,1,0,1,1
您目前在生活中是否有任何个人问题或困难？,1,0,0,0
我明白了，感谢您花时间回答这个问题。请问您是否觉得自己总是倾向于为自己的问题责备自己？,2,2,2,2
感谢您与我分享您的想法。我感觉你是{}，是这样吗？,2,1,2,2
您是否尝试过执行协议 11，如果是，是否会引发不舒服的感觉？,0,0,0,0
你会说这是最近或遥远过去事件的结果吗？,0,1,1,1
谢谢，我想了解更多关于您的总体感受。您目前是否遇到个人困难？,2,1,2,2
我相信您会感到{}，您会说这是正确的吗？,1,1,1,1
我可以看出您可能会感觉{}，这是准确的吗？,0,1,1,1
当涉及到情绪时，总是很难保持客观，但如果可以的话，我希望你尝试一下。你是否觉得自己总是更关注别人在生活中所做的事情，而不是你在生活中所做的事情？,2,1,2,2
我知道你说你今天一直感到焦虑，所以我想知道你是否有其他负面情绪。您过去或现在是否有过这些情绪：,2,1,2,2
在您完成此协议时，请尽量专注于自己和任务。最后，按“继续”按钮。,2,2,1,2
很抱歉听到你有这种感觉，虽然有这种感觉没关系，你并不孤单。今天有什么特别的事情让你有这种感觉吗？,2,2,2,2
做完这件事后你感觉如何，你感觉更好还是更糟？,1,0,0,0
你是否发现你似乎总是为出错的事情责备自己，即使你无法控制它们？,1,0,1,1
我知道了。你能告诉我这种焦虑的原因是前一段时间发生的事情还是最近发生的事情？,0,1,2,1
在回答下一个问题之前，请尝试深入了解您与他人的关系。您是否觉得自己在试图控制与您亲近的人？,2,1,1,1
你和我分享了你一直感到焦虑，现在我想更广泛地询问你的情绪状态。以下情绪怎么样，您是否曾强烈感受到或向他人表达过这些情绪：,2,1,2,2
现在你的生活中是否有任何重大事件可能让你有这样的感觉？,0,1,1,1
请选择您现在要查看的协议。,0,0,0,0
请帮助我理解，因为我想尽我所能支持你。你觉得你通常善于考虑他人的观点吗？,2,2,2,2
如果我可以问一下，您现在完成了协议，感觉如何？我希望你感觉好些，但如果你感觉更糟也没关系，请告诉我，我会尽力提供帮助。,1,2,2,2
有人要为你的感受负责吗？,0,0,1,0
这是因为最近或遥远的情况而发生的吗？,0,0,0,0
您是否正处于个人性质的创伤之中，例如与家人或朋友相处时遇到困难？,1,0,0,0
哦，那不好。这与发生的任何特定事件有关吗？,1,2,2,2
谢谢你。我知道这并不总是那么容易，但你能告诉我的任何事情都会帮助我更好地了解你的情况。你介意我再问你几个问题吗？,2,2,2,2
我明白。这与最近发生的事情或更远的事件有关吗？,0,1,2,1
你总是觉得比你的负面感受或经历是你自己的错吗？,0,0,1,0
根据您告诉我的内容，这里有一些我们可以尝试的协议。请选择您现在想经历的任何事情。,1,2,1,1
你是否在责备某人，也许是因为感到恼火？,1,1,2,1
哦，不，很遗憾听到它。是发生了什么事情触发了这些感觉吗？,2,2,2,2
非常感谢您的意见。在我看来，您现在正在感受 {}，这听起来准确吗？,2,1,2,2
我有一些建议。如果可以，请您告诉我您认为今天哪种协议最适合您？,1,2,2,2
你是否觉得自己的情绪是他人行动的原因？,0,1,1,1
听到这个消息我很高兴。您是否有兴趣查看可以尝试的协议？,2,1,2,2
我这里有一些协议，我想让你看看，我认为它们可能会对你有所帮助。您能否通读一遍并告诉我您认为哪一个对您最有益并且您想尝试一下。,2,2,1,2
谢谢你，到目前为止你真的很勇敢地分享。我想看看我是否可以通过问你几个问题来了解你的感受以及这些感受的原因来支持你，你可以吗？,2,2,2,2
如果你有一根魔杖，你现在会从你的生活中消除一些人，以便感觉更好吗？,1,0,0,0
稍后我将列出一些情绪。您是否对某人有强烈的这些情绪，甚至对他们采取了行动：,1,0,1,1
当你被激怒时，你是否经常发现自己试图控制别人？,0,0,1,0
这个事件是最近发生的还是不久前发生的？,0,0,0,0
您是否觉得很难处于无法帮助别人的位置？,0,1,0,0
有时其他人让我们受苦，但有时可能是我们在逃避为自己的行为和选择承担责任。你是否因为别人而感到痛苦？,2,1,2,2
谢谢，我明白了。你认为自己情绪低落是别人的错吗？,1,1,2,1
感谢您与我分享这个，我知道这可能很困难。我想问一下您最近是否尝试过第 11 号议定书，如果是，您是否因此而感到更加痛苦。,2,2,2,2
你认为你现在可能试图控制别人吗？,1,0,1,1
你是否觉得，现在这个世界与你为敌？,1,1,0,1
这不好，但我们仍然可以解决它。正如您所建议的那样，您在使用该协议后感觉并没有好转，您想尝试另一种方法，看看效果如何？,2,1,2,2
你有没有觉得自己可能被别人伤害了？,2,0,1,1
你会说这是最近或遥远过去事件的结果吗？,1,0,1,1
你认为生活中的什么事件引发了这种感觉，是最近的事件还是过去更久远的事件？,1,1,1,1
好吧，你对周围人的感觉如何。你会说你是在这种情况下陷入困境的人，完全是别人的错吗？,2,1,1,1
你会说你一直乐于倾听别人的意见吗？,1,0,1,1
您是否担心与您亲近的人之间的任何私人问题？,1,0,0,0
你能告诉我你最近是否在研究 11 号议定书，它让我想起了过去的一些不好的感觉吗？,1,0,1,1
你总是因为你的错误而责备自己吗？,1,0,0,0
您能否与我分享您是否强烈感受到以下任何一种情绪：,1,0,1,1
协议 6 中的练习对某些人来说可能很困难，所以我想知道它们是否适合您。您是否尝试过协议 6 中的练习并发现它们困难或痛苦？,2,1,2,2
你是否觉得自己遇到了麻烦，没有人可以帮助你？,0,1,1,1
这是什么时候发生的，是最近还是不久前？,0,0,1,0
您是否觉得自己遇到了个人危机，例如与家人、朋友或其他亲人相处的困难时期？,1,1,2,1
我很抱歉你感觉不太好。有没有发生什么事让你有这种感觉？,1,2,2,2
你最近是否试图推进 11 号议定书，你重新审视的创伤是否变得难以处理？,1,1,2,1
您是否认为您的脑海中某处可能正在发生某些事情，让您觉得自己应该为生活中的其他人充当救世主？,1,1,2,1
请试试这个。让我知道它是否适合您，完成后，点击继续。,1,1,1,1
当发生伤害我们的事情时，责备自己是很正常的，但如果我们总是这样做，它会积累成非常愤怒的感觉。你认为你总是倾向于为每一个错误责备自己吗？,2,1,2,2
谢谢你。这里没有正确或错误的答案，只是探索事物是好的。当事情没有按照你想要的方式发展时，你是否认为你总是要负责？,2,2,2,2
你是否觉得有人对你的负面情绪负有部分责任？,0,1,1,1
谢谢，让我们再好好想想你的这种感觉。你觉得将自己的问题和感受归咎于他人更容易或更自然吗？,2,1,2,2
我完全理解你的感受，一定很难。如果我可以问，你是否觉得你向某人表达了这些情绪：,2,2,2,2
你想尝试其中的任何一个吗？,0,0,0,0
请问您是在家里、工作上还是和朋友相处时遇到麻烦？,2,1,1,1
您是否认为您最近有过以下情绪：,0,0,1,0
我认为这些协议之一可能会对您有所帮助。您想尝试哪种协议？,0,1,0,0
我明白了，谢谢。你不开心是因为别人让你感觉不好，就像你被他们伤害了，你是受害者吗？,1,1,2,1
这是最近发生的，还是遥远过去的记忆？,0,0,1,0
很抱歉你生气了，我想知道这是否可能是更大问题的征兆。最近你的生活中是否发生了其他重大困难？,2,2,2,2
您愿意尝试另一种可能效果更好的协议吗？,1,1,2,1
你认为有人要为你的负面情绪负责吗？,0,1,0,0
您最近是否尝试过通过第 11 号议定书，结果，过去发生的事情重新点燃了无法控制的情绪？,1,1,1,1
