,gender,age,emotion,base,rewriting,transformation
15,男性,40-69,悲伤,这是由特别事件引起的吗？,我很遗憾听到你有这种感觉。你能告诉我是否有特定的事件导致了这种情况？,HIGH
16,女性,40-69,悲伤,这是由特别事件引起的吗？,是不是发生了什么特别的事情导致了这种情况？,HIGH
17,女性,18-39,悲伤,这是由特别事件引起的吗？,在您的个人生活中是否发生过任何事情导致这些感觉？,HIGH
18,女性,40-69,悲伤,这是由特别事件引起的吗？,请告诉我，这是由特定事件引起的吗？,HIGH
19,男性,40-69,悲伤,这是由特别事件引起的吗？,在这种感觉之前发生了什么吗？,HIGH
20,男性,40-69,悲伤,这是由特别事件引起的吗？,为了让您感觉更好，我需要了解是否发生了什么事情导致了这种情况。是否有特定事件让您感到悲伤？,HIGH
21,女性,18-39,悲伤,这是由特别事件引起的吗？,哦，听到这个我很抱歉。是特定情况导致的吗？,HIGH
22,女性,18-39,悲伤,这是由特别事件引起的吗？,有没有发生什么事情让你有这种感觉？,HIGH
23,男性,40-69,悲伤,这是由特别事件引起的吗？,你认为有什么特别的事情让你有这种感觉吗？你可以对我敞开心扉。,HIGH
24,男性,18-39,悲伤,这是由特别事件引起的吗？,你还记得是否有什么事情让你有这种感觉吗？,HIGH
25,女性,40-69,悲伤,这是由特别事件引起的吗？,你能想到让你开始有这种感觉的具体事件吗？,HIGH
26,男性,40-69,悲伤,这是由特别事件引起的吗？,很抱歉听到这个，我可以理解。是否有导致这种情况的事件？,HIGH
27,女性,18-39,悲伤,这是由特别事件引起的吗？,有没有什么特别让你感到难过的事情？,HIGH
28,女性,18-39,悲伤,这是由特别事件引起的吗？,有没有发生什么特别的事情让你有这种感觉？,HIGH
29,女性,18-39,悲伤,这是由特别事件引起的吗？,这种感觉是由特定事件引起的吗？,HIGH
30,女性,18-39,悲伤,这是由特别事件引起的吗？,这是因为什么特别的事情吗？,HIGH
31,男性,40-69,悲伤,这是由特别事件引起的吗？,你能想到发生这种情况的具体原因吗？,HIGH
32,男性,40-69,悲伤,这是由特别事件引起的吗？,我很遗憾听到。你能告诉我它是否是由你可以分享的特定事件或事件引起的吗？,HIGH
33,女性,40-69,悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了这种情况？,HIGH
34,男性,18-39,悲伤,这是由特别事件引起的吗？,是不是发生了什么事情导致了你现在的感觉？,HIGH
35,女性,40-69,悲伤,这是由特别事件引起的吗？,有没有发生什么事情让你有这种感觉？,HIGH
36,女性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉听到这个。你能想到导致这种情况发生的具体原因吗？,HIGH
37,女性,40-69,悲伤,这是由特别事件引起的吗？,你能告诉我这是否是由特定事件引起的吗？,HIGH
38,男性,18-39,悲伤,这是由特别事件引起的吗？,谢谢，我明白了。是不是有什么特别的原因导致了这种情况？,HIGH
39,女性,40-69,悲伤,这是由特别事件引起的吗？,有没有发生什么让你难过的事情？,HIGH
40,男性,18-39,悲伤,这是由特别事件引起的吗？,是否有什么特别的事情似乎引起了这种感觉？,HIGH
41,女性,40-69,悲伤,这是由特别事件引起的吗？,请告诉我这种感觉是否源于某个事件？,HIGH
42,男性,40-69,悲伤,这是由特别事件引起的吗？,有什么特别让你有这种感觉的吗？,HIGH
43,女性,18-39,悲伤,这是由特别事件引起的吗？,我很抱歉。这是由特定事件引起的吗？,HIGH
44,男性,18-39,悲伤,这是由特别事件引起的吗？,你觉得哪让我觉得抱歉。这是由特定原因引起的吗？,HIGH
45,女性,40-69,悲伤,这是由特别事件引起的吗？,您是否觉得您目前的情绪可能是由特定事件或事件引起的？,HIGH
46,女性,18-39,悲伤,这是由特别事件引起的吗？,感谢您与我分享您的情绪，我知道现在可能很难处理它们。为了我能更好地帮助你，你能告诉我具体的事件是否让你有这种感觉吗？,HIGH
47,男性,40-69,悲伤,这是由特别事件引起的吗？,请问，有什么具体原因吗？,HIGH
48,男性,40-69,悲伤,这是由特别事件引起的吗？,这可能与特定事件有关吗？,HIGH
49,女性,40-69,悲伤,这是由特别事件引起的吗？,谢谢你让我知道，我非常抱歉你有这种感觉。请问这种感觉是不是有什么特殊原因？,HIGH
50,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我可以认同这一点。现在，这些感觉是最近还是很久以前发生的事件的结果？,HIGH
51,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了。你会说这是最近发生的还是遥远的事件？,HIGH
52,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，我明白了。你能告诉我这是最近发生的事情还是前一阵子发生的事情吗？我希望你没有因为这次事件而受到太多伤害。,HIGH
53,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我这个或多个事件是最近发生的还是过去发生的？,HIGH
54,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你现在一定很痛。你能分享一下这个事件是最近发生的还是更久以前？,HIGH
55,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,引起您悲伤的事件是最近发生的事件还是不久前发生的事情？,HIGH
56,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,明白了，谢谢分享。这是最近发生的还是遥远的事件？,HIGH
57,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,请问这种感觉是最近还是过去的事情引起的？,HIGH
58,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,引起你悲伤的事件是最近发生的还是遥远的？,HIGH
59,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的事情还是很久以前发生的事情？,HIGH
60,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是因为最近或遥远的情况而发生的吗？,HIGH
61,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,最近或遥远的事情是否触发了这些感觉？,HIGH
62,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你觉得让你体验这些感觉的情况是最近的还是遥远的？,HIGH
63,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是刚刚发生的事情还是过去发生的事情？,HIGH
64,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,让你有这种感觉的事件是最近发生的还是很久以前发生的？,HIGH
65,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的事情还是更遥远的事情？,HIGH
66,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,明白了，谢谢这是由最近或遥远的事件（或事件）引起的吗？,HIGH
67,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这个事件是最近发生的还是很久以前发生的？,HIGH
68,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,了解您处理此问题的时间很重要。请问这是最近发生的事件还是遥远的事件？,HIGH
69,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是由最近或遥远的事件引起的吗？,HIGH
70,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,事件是最近发生的还是过去发生的？,HIGH
71,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢，我想知道您认为您生活中的什么事件引发了这种感觉。这是最近发生的事件还是更遥远的过去？,HIGH
72,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,请问是最近发生的还是很久以前的？,HIGH
73,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是由于最近或更远的事件引起的吗？,HIGH
74,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,有这种感觉是可以的。这个事件是最近发生的还是不久前发生的？,HIGH
75,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白。这是最近发生的还是在遥远的过去发生的事情？,HIGH
76,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,对不起，那一定很难。是最近发生的事情还是很久以前发生的事情？,HIGH
77,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这种感觉是因为最近或遥远的事件而产生的吗？,HIGH
78,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我更多关于发生的事情吗？这个事件是遥远的还是最近的？,HIGH
79,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,明白了，谢谢分享。你会说这是最近发生的还是遥远的事件，这样我才能得到更好的画面？,HIGH
80,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这个事件是最近发生的还是前一阵子发生的？,HIGH
81,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,引起这些感觉的事件是最近发生的，还是发生在遥远的过去？,HIGH
82,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,您是在回忆遥远的过去还是最近的事情？,HIGH
83,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你认为是最近的事情引起了这种感觉，还是更遥远的事情？,HIGH
84,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢你让我知道。这是由最近或遥远的事件（或事件）引起的吗？,HIGH
85,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,原来如此。这是最近发生的还是之前发生的？,HIGH
86,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这个事件是最近发生的还是前一段时间发生的？,HIGH
87,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。是否有一些最近发生的事件可以作为造成这种情况的原因，或者是不久前发生的事件？,HIGH
88,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你会说这是最近或遥远过去事件的结果吗？,HIGH
89,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很遗憾听到这个消息。这是最近发生的还是不久前发生的？,HIGH
90,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。我也可以问一下是不是由最近或遥远的事件（或事件）引起的？,HIGH
91,男性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这是最近发生的，还是前一段时间发生的？,HIGH
92,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,非常感谢你让我知道。你会说是最近或遥远的事件（或事件）引起了这种情绪吗？,HIGH
93,女性,18-39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢。这个事件是最近的还是更远的？不管怎样，我希望这对你来说没有太大的创伤。,HIGH
94,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,那件事是最近发生的，还是在你过去更遥远？,HIGH
95,男性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白。这与最近发生的事情还是更遥远的事件有关？,HIGH
96,女性,40-69,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢。您是说这件事发生在最近，还是您还记得更遥远的过去？,HIGH
97,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,首先，您的感受对我很重要，所以我需要询问您之前与协议的互动情况。你最近有没有尝试过协议 6，如果是这样，它是否会因为你想起这件事而引发困难的情绪？,HIGH
98,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议 6 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 6，它是否让您感到任何负面情绪？,HIGH
99,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢，我明白了。你会说这种负面情绪是由最近对协议 6 的尝试引发的吗？,HIGH
100,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,如果你最近在研究协议 6 并且它从过去的事件中带回了一些不好的感觉，你能告诉我吗？,HIGH
101,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否尝试过协议 6，如果是的话，回顾这个​​创伤性事件是否会重新打开导致情绪爆发的旧伤口？,HIGH
102,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，最近尝试协议 6 是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。,HIGH
103,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否能够尝试协议 6，如果是，您是否觉得该协议带来了您过去经历过的同样困难的情绪？,HIGH
104,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你有没有尝试过协议 6，如果是这样，这是否会引发过去的负面情绪？,HIGH
105,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白这可能很困难。请问你是否尝试过协议 6 来更好地理解你的情绪，但通过它太痛苦了？,HIGH
106,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否尝试过协议 6，结果，过去发生的事情重新点燃了不受控制的情绪？,HIGH
107,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你能告诉我在尝试协议 6 重温过去的创伤事件后，你是否开始有这种感觉？,HIGH
108,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否执行了协议 6 并让您感觉更糟？,HIGH
109,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你觉得你最近的悲伤情绪可能是因为尝试了协议 6 吗？,HIGH
110,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试完成协议 6 并且由于过去发生的事情而导致重新唤醒一些不好的感觉？,HIGH
111,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否尝试过协议 6，它是否带回了过去的一些艰难情绪？,HIGH
112,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试使用协议 6，如果是，这是否会因为过去的事件而引发困难的情绪？,HIGH
113,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否碰巧尝试过协议 6，您认为这可能是您产生这些负面情绪的原因吗？,HIGH
114,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否尝试过协议 6，如果你尝试过，它是否会从过去的事件中带来困难的情绪？,HIGH
115,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我们过去的事件可能会引发情绪高涨。你在做协议 6 时是否经历过强烈的负面情绪？,HIGH
116,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议 6 并发现由于旧的记忆而重新点燃了这种无法控制的感觉？,HIGH
117,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,重温过去的负面事件会让您感到非常不舒服吗？,HIGH
118,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你认为现在回想这件事会伤害你吗？,HIGH
119,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过使用协议 6 并且它是否带回了不舒服的情绪？,HIGH
120,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议 6，并发现它使过去事件产生的无法控制的情绪恢复生机？,HIGH
121,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 可以唤起您可能很久都没有感受到的情绪，所以我想知道这是否是您的正确选择。有没有可能你最近尝试了协议 6，这又重新点燃了这些负面情绪？,HIGH
122,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试遵循协议 6，如果是这样，您是否感到不安？,HIGH
123,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议 6 是否对你来说太痛苦了？,HIGH
124,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试执行协议 6，如果是这样，是否会引发不舒服的感觉？,HIGH
125,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过方案 6 并因此重温了创伤性事件？,HIGH
126,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议 6 并且可能发现这并没有像您希望的那样提供帮助？,HIGH
127,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议 6 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议 6，你能告诉我它是否会因为旧的事件而导致无法控制的情绪吗？,HIGH
128,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过考虑此事件，但发现它太痛苦了？,HIGH
129,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否尝试过协议 6，如果是，你是否对过去有消极的想法，导致你的思绪在那个方向徘徊？,HIGH
130,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,根据过去的情况，在这件事发生后使用协议 6 是否让您的情绪更加无法控制？,HIGH
131,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,在我们继续之前，我想评估哪种协议最适合您的情况。您是否已经通过协议 6 并发现它对您产生了负面影响？,HIGH
132,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,如果您最近尝试了协议 6 并发现由于旧事件而重新点燃无法控制的情绪，您能否告诉我？,HIGH
133,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,好的，谢谢你。您最近是否尝试过协议 6，它是否会导致重温痛苦的情绪？,HIGH
134,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议 6，如果是，是否让您感觉更糟？,HIGH
135,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这是不幸的。你有没有尝试过协议 6，它是否引发了你对这次事件的同样困难的情绪？,HIGH
136,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否注意到由于过去的事件，尝试协议 6（如果您尝试过）是否有无法忍受的情绪？,HIGH
137,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这是你执行协议 6 的结果吗？,HIGH
138,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我很抱歉你正在经历这个。您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？,HIGH
139,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 中的练习对某些人来说可能很困难，所以我想知道它们是否适合您。您是否尝试过协议 6 中的练习并发现它们很困难或有创伤？,HIGH
140,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您与我分享这个，我知道这可能很困难。我想问你最近是否尝试过协议 6，如果是，你是否因此感到更加痛苦。,HIGH
141,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,请问您是否已经通过协议6并发现它带回了困难的情绪？,HIGH
142,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你有没有尝试通过尝试协议 6 来回想那件事，如果是这样，它是否带回了困难的情绪？,HIGH
143,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试推进协议 6，并且您重新审视的创伤是否变得难以处理？,HIGH
144,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议 6 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 6，如果是，它是否激起了困难或创伤性的情绪？,HIGH
145,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,首先，您的感受对我很重要，所以我需要询问您之前与协议的互动情况。你最近有没有尝试过协议 11，如果是这样，它是否会激发你记住这一事件的困难情绪？,HIGH
146,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议 11 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 11，它是否让您感到任何负面情绪？,HIGH
147,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢，我明白了。你会说这种负面情绪是由最近对协议 11 的尝试引发的吗？,HIGH
148,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你能告诉我你最近是否在尝试协议 11 并且它从最近的事件中带回了一些不好的感觉吗？,HIGH
149,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否尝试过协议 11，如果是的话，回顾最近的事件是否会重新打开导致情绪爆发的伤口？,HIGH
150,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，最近尝试协议 6 是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。,HIGH
151,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否能够尝试协议 11，如果是，您是否觉得该协议带来了与您在活动期间经历的相同的困难情绪？,HIGH
152,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你有没有尝试过协议 11，如果是这样，这是否会引发最近的负面情绪？,HIGH
153,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白这可能很困难。请问你是否尝试过协议 11 来更好地理解你的情绪，但通过它太痛苦了？,HIGH
154,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近有没有尝试过协议 11，结果，最近发生的事情重新点燃了不受控制的情绪？,HIGH
155,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你能告诉我在尝试协议 11 重新审视最近发生的事件后，你是否开始有这种感觉？,HIGH
156,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否执行了协议 11 并且让您感觉更糟？,HIGH
157,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你觉得你最近的悲伤情绪可能是因为尝试了协议 11 吗？,HIGH
158,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试完成协议 11 并且由于最近发生的事情而导致重新唤醒一些不好的感觉？,HIGH
159,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近有没有尝试过协议 11，它是否让你从最近的过去恢复了一些艰难的情绪？,HIGH
160,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试使用协议 11，如果是，这是否会因为最近发生的事件而引发困难的情绪？,HIGH
161,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否碰巧尝试过协议 11，您认为这可能是您产生这些负面情绪的原因吗？,HIGH
162,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近是否尝试过协议 11，如果你尝试过，它是否从最近的事件中带来了困难的情绪？,HIGH
163,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我们最近发生的事件可能会引发情绪高涨。您在执行协议 11 时是否经历过强烈的负面情绪？,HIGH
164,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你最近有没有尝试过协议 11 并发现这种由于最近的记忆而重新点燃的无法控制的感觉？,HIGH
165,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,重温最近发生的这件负面事件，您真的会感到不自在吗？,HIGH
166,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你认为现在回想这件事会伤害你吗？,HIGH
167,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过使用协议 11 并且它是否带回了不舒服的情绪？,HIGH
168,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议 11，并发现它使最近发生的事件引起的无法控制的情绪恢复生机？,HIGH
169,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 11 可以唤起您一段时间内可能没有感受到的情绪，所以我想知道它是否是您的正确选择。有没有可能你最近尝试了协议 11，这又重新点燃了负面情绪？,HIGH
