,gender,age,emotion,base,rewriting
625,男性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,
627,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,
628,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,
629,女性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,
669,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
671,女性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
672,男性,40-69,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
676,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
711,男性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
713,女性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
714,男性,40-69,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
718,女性,18-39,愤怒,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
753,男性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,
756,女性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,
757,男性,40-69,愤怒,谢谢。现在我会问一些问题以了解您的情况。,
758,女性,18-39,愤怒,谢谢。现在我会问一些问题以了解您的情况。,
798,男性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,
800,女性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,
801,男性,40-69,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,
805,女性,18-39,愤怒,您是否对某人有强烈的感受或表达以下任何情绪：,
840,女性,18-39,愤怒,您认为您应该成为别人的救星吗？,
841,女性,40-69,愤怒,您认为您应该成为别人的救星吗？,
842,男性,18-39,愤怒,您认为您应该成为别人的救星吗？,
844,男性,40-69,愤怒,您认为您应该成为别人的救星吗？,
884,女性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
885,女性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
886,男性,18-39,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
888,男性,40-69,愤怒,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
927,女性,18-39,愤怒,您觉得您在试图控制某人吗？,
928,女性,40-69,愤怒,您觉得您在试图控制某人吗？,
929,男性,18-39,愤怒,您觉得您在试图控制某人吗？,
931,男性,40-69,愤怒,您觉得您在试图控制某人吗？,
970,女性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,
971,女性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,
972,男性,18-39,愤怒,当出现问题时，您是否总是责怪和指责自己？,
974,男性,40-69,愤怒,当出现问题时，您是否总是责怪和指责自己？,
1015,女性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,
1016,女性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,
1017,男性,18-39,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,
1019,男性,40-69,愤怒,在之前的对话中，您是否考虑过其他提出的观点？,
1059,女性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1060,女性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1061,男性,18-39,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1063,男性,40-69,愤怒,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1101,女性,18-39,焦虑,这是由特别事件引起的吗？,
1102,男性,18-39,焦虑,这是由特别事件引起的吗？,
1103,女性,40-69,焦虑,这是由特别事件引起的吗？,
1105,男性,40-69,焦虑,这是由特别事件引起的吗？,
1150,女性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,
1151,男性,18-39,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,
1152,女性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,
1154,男性,40-69,焦虑,这是由最近或遥远的事件（或多个事件）引起的吗？,
1200,女性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
1201,男性,18-39,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
1202,女性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
1204,男性,40-69,焦虑,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,
1249,女性,18-39,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
1250,男性,18-39,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
1251,女性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
1253,男性,40-69,焦虑,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,
1298,女性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,
1299,男性,18-39,焦虑,谢谢。现在我会问一些问题以了解您的情况。,
1300,女性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,
1302,男性,40-69,焦虑,谢谢。现在我会问一些问题以了解您的情况。,
1348,女性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,
1349,男性,18-39,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,
1350,女性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,
1352,男性,40-69,焦虑,您是否对某人有强烈的感受或表达以下任何情绪：,
1398,女性,18-39,焦虑,您认为您应该成为别人的救星吗？,
1400,男性,40-69,焦虑,您认为您应该成为别人的救星吗？,
1401,女性,40-69,焦虑,您认为您应该成为别人的救星吗？,
1402,男性,18-39,焦虑,您认为您应该成为别人的救星吗？,
1448,女性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
1450,男性,40-69,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
1451,女性,40-69,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
1452,男性,18-39,焦虑,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,
1498,女性,18-39,焦虑,您觉得您在试图控制某人吗？,
1500,男性,40-69,焦虑,您觉得您在试图控制某人吗？,
1501,女性,40-69,焦虑,您觉得您在试图控制某人吗？,
1502,男性,18-39,焦虑,您觉得您在试图控制某人吗？,
1548,女性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,
1550,男性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,
1551,女性,40-69,焦虑,当出现问题时，您是否总是责怪和指责自己？,
1552,男性,18-39,焦虑,当出现问题时，您是否总是责怪和指责自己？,
1598,女性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,
1600,男性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,
1601,女性,40-69,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,
1602,男性,18-39,焦虑,在之前的对话中，您是否考虑过其他提出的观点？,
1648,女性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1650,男性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1651,女性,40-69,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1652,男性,18-39,焦虑,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,
1698,女性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,
1700,男性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,
1701,女性,40-69,快乐,那很好！让我推荐一个您可以尝试的协议。,
1702,男性,18-39,快乐,那很好！让我推荐一个您可以尝试的协议。,
1747,女性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,
1749,男性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,
1750,女性,40-69,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,
1751,男性,18-39,所有情绪,根据您所说的，我相信您正在感受{}。这个对吗？,
1797,女性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,
1799,男性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,
1800,女性,40-69,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,
1801,男性,18-39,所有情绪,我很抱歉。请从下面的情绪中选择最能反映您感受的情绪：,
1847,女性,18-39,所有情绪,感谢您的参与。再见,
1849,男性,40-69,所有情绪,感谢您的参与。再见,
1850,女性,40-69,所有情绪,感谢您的参与。再见,
1851,男性,18-39,所有情绪,感谢您的参与。再见,
1897,女性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,
1898,男性,18-39,所有情绪,这是我的建议，请选择您想尝试的协议,
1899,女性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,
1901,男性,40-69,所有情绪,这是我的建议，请选择您想尝试的协议,
1946,女性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,
1947,男性,18-39,所有情绪,请现在尝试通过此协议。完成后，按“继续”,
1948,女性,40-69,所有情绪,请现在尝试通过此协议。完成后，按“继续”,
1950,男性,40-69,所有情绪,请现在尝试通过此协议。完成后，按“继续”,
1995,女性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,
1996,男性,18-39,所有情绪,采取此协议后，您感觉更好还是更糟？,
1997,女性,40-69,所有情绪,采取此协议后，您感觉更好还是更糟？,
1999,男性,40-69,所有情绪,采取此协议后，您感觉更好还是更糟？,
2044,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,
2045,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,
2046,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,
2048,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉好多了）,
2094,女性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,
2095,男性,18-39,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,
2096,女性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,
2098,男性,40-69,所有情绪,您想尝试另一种协议吗？ （病人感觉更糟）,
