,emotion,base,rewriting,perplexity
29,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,对不起，那一定很难。请问这是最近发生的事情还是很久以前发生的事情？,12.07633
30,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,明白了，谢谢分享。你会说这是最近发生的还是遥远的事件，这样我才能得到更好的画面？,25.375732
31,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。是否有一些最近发生的事件可以作为造成这种情况的原因，或者是很久以·前发生的事件？,20.347927
32,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很遗憾听到这个消息。这是最近发生的还是很久以前发生的？,15.450636
33,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。我也可以问一下是不是由最近或遥远的事件引起的？,28.027212
34,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,非常感谢你让我知道。你会说是最近或遥远的事件（或事件）引起了这种情绪吗？,30.084465
35,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢。这个事件是最近的还是更远的？不管怎样，我希望这对你来说没有太大的创伤。,17.935413
36,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这个问题可能很难回答，但我想问这事是最近或很久以前发生的，以便我更清楚地了解这件事发生的具体时刻。,12.084162
37,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想知道更多关于这件事发生的具体时刻。请问这事是最近或很久以前发生的？,15.794856
38,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我更多关于这件事发生的时间吗，以便我能确定一些具体的情况。它是否是最近或很久以前发生的一件事？,12.749143
39,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想问你一些问题，如果你不介意我问这个。你能告诉我更多关于这件事的具体时间，以便我进一步了解是否发生了什么。,10.460132
40,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这个问题可能很难回答，我想知道更多关于这件事发生的具体时刻。你能告诉我是否是最近或很久以前发生的一件事？,11.033974
41,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我更多关于这件事发生的具体时刻，以便我们进一步了解情况。如果你不介意，请问这事是最近或很久以前发生的？,13.339699
42,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我更多关于这件事发生的时间，以便我们进一步了解是什么原因造成这种感觉。,10.770701
43,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想问，你能告诉我更多关于这件事发生的具体时刻吗？,13.408244
44,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,你能告诉我更多关于这件事的具体时间，以便我们进一步了解是什么原因导致这种情况。,10.412677
45,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,这个问题可能很难回答。我想知道更多关于这件事发生的时间。你能告诉我这是最近或很久以前发生的事吗，以便我进一步了解您的情况。,10.390107
46,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想知道是什么让你有这种感觉。你能告诉我更多关于这件事发生的具体时刻，以便我们进一步了解情况。,10.038861
47,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想知道是什么让你有这样的感觉。如果你不介意，你能告诉我更多关于这件事发生的时间，以便我们进一步了解情况吗？,8.532458
48,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想知道更多关于这件事发生的时间。你能告诉我更详细的细节，以便我进一步了解您的心态。,11.335459
49,悲伤,这是由最近或遥远的事件（或多个事件）引起的吗？,我想知道更多关于这件事发生的具体时刻。你能告诉我更详细地描述一下这事是什么时候发生的吗？,10.480158
50,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,首先，您的感受对我很重要，所以我需要询问您之前与协议的互动情况。你最近有没有尝试过协议6，如果是这样，它是否会因为你想起这件事而引发困难的情绪？,20.841906
51,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议6不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议6，它是否让您感到任何负面情绪？,22.252956
52,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，最近尝试协议6是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。,20.641281
53,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白这可能很困难。请问你是否尝试过协议6来更好地理解你的情绪，但通过它太痛苦了？,39.61096
54,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议6可以唤起您可能很久都没有感受到的情绪，所以我想知道这是否是您的正确选择。有没有可能你最近尝试了协议6，这又重新点燃了这些负面情绪？,19.33371
55,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议6是否对你来说太痛苦了？,29.398567
56,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议6并发现这练习没有提供您需要的帮助？,44.24661
57,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议6可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议6，你能告诉我它是否会因为旧的事件而导致无法控制的情绪吗？,16.838598
58,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这是不幸的。你有没有尝试过协议6，它是否引发了你对这次事件的同样困难的情绪？,39.69211
59,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我很抱歉你正在经历这一切。您最近是否尝试过协议6而在想起旧事件时点燃了一些无法控制的情绪？,46.939037
60,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议6中的练习对某些人来说可能很困难，所以我想知道它们是否适合您。您是否尝试过协议6中的练习并发现它们很困难或有创伤？,18.27782
61,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您与我分享这个，我知道这可能很困难。我想问你最近是否尝试过协议6，如果是，你是否因此感到更加痛苦。,22.640749
62,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议6可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议6，如果是，它是否激起了困难或创伤性的情绪？,19.91087
63,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议6，并发现由于旧事件而引发了强烈的负面情绪？感谢您提供帮助我了解情况。,29.026913
64,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否已经尝试过协议6，这是否让你回想起最近发生的事情而伤到你的情绪？,28.661392
65,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，您是否认为尝试使用协议6来重温事件，如果您这样做了，可能会导致这种感觉吗？,26.966015
66,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道这件事让你很痛苦。你最近有没有重温这个事件，试图找到它的结局，但它所做的只是把你在事件中无法忍受的情绪带回来？,20.576412
67,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您可能知道，协议6可用于检查此类事件。您有使用协议6的经验吗？而且，如果是这样，您是否发现它使与过去事件相关的困难情绪浮出水面？,24.725733
68,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有时它可以帮助通过协议6解决与过去的创伤事件相关的悲伤。你是否已经尝试过协议6，如果是的话，你是否真的发现它带来的情绪过于强烈？,21.077124
69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,在某些情况下，协议6可用于回顾特别创伤性事件，但这有时会引发麻烦的情绪反应。你之前有没有使用过协议6，它有没有让你有任何无法控制的情绪？,20.341345
70,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道现在是否有什么东西重新点燃了这种感觉。您是否尝试过记住或重温此事件并因此感到悲伤？,21.953705
71,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,通过尝试协议6来重温创伤性事件会带来消极和无法控制的情绪。您是否尝试通过执行协议6重新审视该事件并因此感到不舒服？,31.89469
72,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,有时不好的感觉可能会回来，因为发生了一些事情让它们再次出现。您最近是否尝试过协议6，并且无法将自己与过去所产生的负面情绪疏远？,28.007284
73,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,如果你能和我分享以下信息，那对我会有很大帮助。您最近有没有尝试过协议6，如果是这样，它是否让你感到难以管理情绪？,20.89476
74,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道有时回想过去会让人不舒服。您是否尝试过通过协议6？如果是这样，您是否感到无法处理出现的情绪？,28.102972
75,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,首先，您的感受对我很重要，所以我需要询问您之前与协议的互动情况。你最近有没有尝试过协议11，如果是这样，它是否会激发你记住这一事件的困难情绪？,23.575384
76,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议11不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议11，它是否让您感到任何负面情绪？,22.249542
77,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，最近尝试协议6是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。,20.641281
78,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白这可能很困难。请问您是否为了更好的了解您的情绪而尝试过协议11，但从这经验感受到痛苦？,41.993694
79,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议11可以唤起您一段时间内可能没有感受到的情绪，所以我想知道它是否是您的正确选择。有没有可能你最近尝试了协议11，这又重新点燃了负面情绪？,21.254251
80,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议11是否对你来说太痛苦了？,29.723331
81,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议11并且可能发现这没有提供您需要的帮助？,45.343956
82,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议11可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议11，你能告诉我它是否因为最近的事件而导致无法控制的情绪吗？,16.268463
83,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,好抱歉听到您有这种感受。你有没有尝试过协议11，它是否引发了你对这事件的相似情绪？,40.268394
84,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我很抱歉你正在经历这个。您最近是否尝试过协议11并发现由于最近的事件而重新点燃了无法控制的情绪？,39.383343
85,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议11中的练习对某些人来说可能很困难，所以我想知道它们是否适合您。您是否尝试过协议11中的练习并发现它们很困难或有创伤？,18.021385
86,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您与我分享这个，我知道这可能很困难。我想问你最近是否尝试过协议11，如果是，你是否因此感到更加痛苦。,23.265736
87,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议11可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议11，如果是，它是否激起了困难或创伤性的情绪？,19.918518
88,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您最近是否尝试过协议11，并发现由于旧事件而引发了强烈的负面情绪？感谢您提供帮助我了解情况。,29.491192
89,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,你是否已经尝试过协议11，这是否让你回想起最近发生的事情而伤到你的情绪？,28.465406
90,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，您是否认为尝试使用协议11来重温事件，如果您这样做了，可能会导致这种感觉吗？,27.327257
91,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道这件事让你很痛苦。你最近有没有重温这个事件，试图找到它的结局，但它所做的只是把你在事件中无法忍受的情绪带回来？,20.576412
92,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您有使用协议11的经验吗？如果是这样，您是否发现它使与过去事件相关的困难情绪浮出水面？,38.669106
93,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有你是否已经尝试过协议11，如果是的话，你是否真的发现它带来的情绪过于强烈？,29.27996
94,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,在某些情况下，协议11可用于回顾特别创伤性事件，但这有时会引发麻烦的情绪反应。你之前有没有使用过协议11，它有没有让你有任何无法控制的情绪？,20.249792
95,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道现在是否有什么东西重新点燃了这种感觉。您是否尝试过记住或重温此事件并因此感到悲伤？,21.953705
96,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,通过尝试协议11来重温创伤性事件会带来消极和无法控制的情绪。您是否尝试通过执行协议11重新审视该事件并因此感到不舒服？,31.622795
97,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有时不好的感觉可能会回来，因为发生了一些事情让它们再次出现。您最近是否尝试过协议11，并且无法将自己与过去所产生的负面情绪疏远？,28.043154
98,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,如果你能和我分享以下信息，那对我会有很大帮助。您最近有没有尝试过协议11，如果是这样，它是否让你感到难以管理情绪？,20.874168
99,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道有时回想过去会让人不舒服。您是否尝试过通过协议11？如果是这样，您是否感到无法处理出现的情绪？,28.470179
100,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您如此乐于助人和耐心。如果您不介意，我还有几个问题可以帮助我进一步了解情况。,17.08954
101,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，我很感激。我将尝试通过问你更多问题来深入了解这个问题。,24.565733
102,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我感谢你的努力，尽管这对你来说一定很艰难。我现在有一些问题可以帮助您了解您的情况。,15.278555
103,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我与您的情绪保持一致，我们将了解如何克服它。我想再问你一些问题，以更好地理解你为什么会有这种感觉。,15.203735
104,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一切，我想这一定很困难。我想通过更多的问题更好地了解您正在经历的事情。,15.999827
105,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你与我分享这一点，我能体会到这种感觉。我只需要问几个问题就可以更好地了解您现在正在处理的问题。,13.708273
106,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我知道你情绪低落，我很抱歉听到它。我们通过几个问题来研究一些可能会帮助您感觉更好的方法如何。,24.97017
107,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，希望我们能更好地了解您最近的困难。如果可以的话，我今天还有几个问题要问你。,15.120588
108,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你让我知道，我很感激。我现在想做的是问几个关于正在发生的事情的问题，这样我就可以更好地了解正在发生的事情。,8.579668
109,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我很感激你与我分享这个。如果您觉得合适，我希望您现在提供更多信息给我。,19.241129
110,悲伤,谢谢。现在我会问一些问题以了解您的情况。,很抱歉听到你的麻烦。我现在要问一些问题，以了解您的情况。,29.850735
111,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您如此开放，我知道这有多难。我还有几个问题要尝试更好地了解您所处的位置以及如何提供帮助。,20.356167
112,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我理解你很伤心，在这种复杂的情况下这是完全有道理的。我现在有几个问题要问您，以帮助我了解正在发生的事情。,15.863062
113,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你跟我说话。想请教您一些问题，以便更好地了解您的情况。,11.883675
114,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您分享这个。现在我想更好地了解你的情况，所以我会问你一些问题，如果可以的话。,15.405253
115,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你，很抱歉你现在正在挣扎并想提供帮助。让我们继续讨论下一个问题，并尝试解决这种情况。,15.888296
116,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你。我现在想通过问你一些额外的问题来更深入地了解你的困境。,15.1423
117,悲伤,谢谢。现在我会问一些问题以了解您的情况。,很抱歉让您受到伤害，在我尝试进一步调查时请耐心等待。我想再问你一些问题，这样我才能更好地了解情况。,13.929337
118,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一点，我想以某种方式帮助您。现在我会问一些问题以了解您的情况。,19.84011
119,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享您的感受，感谢您的信任。如果您不介意，我现在将问您几个问题以更好地了解情况。,15.612158
120,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢分享，很抱歉你正在经历这个。我只想再问一些问题，以便更好地了解您现在的感受。,16.631285
121,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，感谢您与我分享，我知道这可能很困难。我想再问几个问题，以便更好地了解您的情况。,12.168142
122,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您对我敞开心扉，我理解这可能很困难，我感谢您的诚实。我想再问你几个问题，以便我可以更好地帮助你，如果你没问题的话。,13.507904
123,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一点，我很感激这对您来说既艰难又令人沮丧。我可以问几个问题来帮助我了解发生了什么吗？,18.32173
124,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你和我分享，你做得很好。你介意我再问你一些问题，以便我能更好地了解你的情况吗？,14.680885
125,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我知道这可能很困难，但如果您能与我分享这一点，我会非常感激。请问您是否对某人表达或感受到了以下强烈的情绪：,15.685105
126,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢，感谢您的耐心等待。您是否会说您对某人有强烈的感受或表达过以下任何一种情绪：,23.664131
127,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我很感谢你分享的感受。请问您是否有过以下感受：,20.812704
128,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,困难的情况会使我们的情绪感到紧张。您是否有任何这些强烈的感受和/或您向另一个人表达过它们：,30.033566
129,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我将向您展示一系列不健康的情绪，但有时会向他人感受或表达这些不健康的情绪。如果您对生活中的人经历过以下任何一种情绪，请告诉我：,14.381243
130,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我与你的情绪保持一致，我们会理解克服它。您是否对某人有强烈的感受或表达过以下任何一种情绪：,24.43758
131,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢你，我想让你知道，如果我们能够理解它们并向它们学习，即使是负面情绪也可以帮助我们成长。您最近是否对您认识的任何人经历过以下任何情绪：,13.522506
132,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢你对我的信任，我现在想知道你最近在处理什么样的情绪。你能告诉我你是否有过以下任何一种情绪：,12.941292
133,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我们有时可能会经历一些我们可能会羞于承认的困难情绪，但它们是完全正常的，我们识别并处理它们很重要。你能告诉我你是否感受到或表达了以下任何一种情绪：,13.85595
134,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我想问你关于你可能感受到的负面情绪；有时感觉到它们是完全正常的，但重要的是我们在它们接管我们的生活之前学会识别它们。回想一下您最近的过去，您是否有时对某人有以下任何情绪：,16.501032
135,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我了解您的心情。你能告诉我，除了这种悲伤之外，你是否对任何人也有过以下强烈的情绪：,22.776314
136,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,有时我们在某些情况下感觉非常强烈。您是否对生活中的某个人有过以下任何一种情绪：,18.336224
137,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,很抱歉你感觉不好，想通过更多调查来帮助你。您是否表达过或经历过以下任何负面情绪：,22.635866
138,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我们都会感受到某些情绪，但如果我们专注于它们或根据它们采取行动，那可能是不健康的。最近几天，您是否对以下任何情绪感到非常强烈或向他人表达过这些情绪：,13.346605
139,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,这当然不是一个理想的情况，如果可以的话，我想进一步调查你的情绪状态。您是否对任何特定的人有过以下强烈的情绪：,13.682513
140,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,理解我们的情绪可能很困难。您是否会说您对以下情绪有任何强烈的感受或表达：,25.942554
141,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我知道这可能很难，但你能告诉我更多关于你的情绪吗？我想知道您是否对另一个人有过以下情绪：,15.009151
142,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我们有时会感觉到我们认为不好的情绪，但我们知道它们不好这一事实让我们意识到，所以感受这些情绪是可以的，我们总有一天会感受到它们。您是否对某人有强烈的感受或表达过以下任何一种情绪：,11.791383
143,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,有时，我们可能会感受到我们并不引以为豪的情绪，但识别它们、接受它们并理解它们仍然很重要。请问您是否对另一个人有以下情绪：,15.517077
