,Unnamed: 0,gender,age,emotion,base,rewriting
102,102,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，最近尝试协议 6 是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。
105,105,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白这可能很困难。请问你是否尝试过协议 6 来更好地理解你的情绪，但通过它太痛苦了？
121,121,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 可以唤起您可能很久都没有感受到的情绪，所以我想知道这是否是您的正确选择。有没有可能你最近尝试了协议 6，这又重新点燃了这些负面情绪？
123,123,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议 6 是否对你来说太痛苦了？
126,126,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议 6 并且可能发现这并没有像您希望的那样提供帮助？
127,127,男性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议 6 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议 6，你能告诉我它是否会因为旧的事件而导致无法控制的情绪吗？
135,135,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这是不幸的。你有没有尝试过协议 6，它是否引发了你对这次事件的同样困难的情绪？
138,138,女性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我很抱歉你正在经历这个。您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？
139,139,男性,18-39,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 中的练习对某些人来说可能很困难，所以我想知道它们是否适合您。您是否尝试过协议 6 中的练习并发现它们很困难或有创伤？
140,140,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您与我分享这个，我知道这可能很困难。我想问你最近是否尝试过协议 6，如果是，你是否因此感到更加痛苦。
144,144,女性,40-69,悲伤,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议 6 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 6，如果是，它是否激起了困难或创伤性的情绪？
145,145,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,首先，您的感受对我很重要，所以我需要询问您之前与协议的互动情况。你最近有没有尝试过协议 11，如果是这样，它是否会激发你记住这一事件的困难情绪？
146,146,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,有些人发现协议 11 不一定对他们有帮助，所以我试图评估它是否适合您当前的情况。您是否尝试过协议 11，它是否让您感到任何负面情绪？
150,150,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我想知道，最近尝试协议 6 是否会引发任何不好的感觉？如果发生这种情况，我希望你不会因为那次练习而受太多苦。
153,153,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我明白这可能很困难。请问你是否尝试过协议 11 来更好地理解你的情绪，但通过它太痛苦了？
169,169,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 11 可以唤起您一段时间内可能没有感受到的情绪，所以我想知道它是否是您的正确选择。有没有可能你最近尝试了协议 11，这又重新点燃了负面情绪？
171,171,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您如此开放，我正在努力确定帮助的最佳方式，并知道重新审视创伤有多么困难。我很好奇协议 11 是否对你来说太痛苦了？
174,174,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,您是否尝试过协议 11 并且可能发现这并没有像您希望的那样有帮助？
175,175,男性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我认为协议 11 可能会有所帮助，但在我提出建议之前，我想进一步调查一下。如果你最近尝试过协议 11，你能告诉我它是否因为最近的事件而导致无法控制的情绪吗？
183,183,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,这是不幸的。你有没有尝试过协议 11，它是否引发了你对这次事件的同样困难的情绪？
186,186,女性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,我很抱歉你正在经历这个。您最近是否尝试过协议 11 并发现由于最近的事件而重新点燃了无法控制的情绪？
187,187,男性,18-39,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 11 中的练习对某些人来说可能很困难，所以我想知道它们是否适合您。您是否尝试过协议 11 中的练习并发现它们很困难或有创伤？
188,188,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,感谢您与我分享这个，我知道这可能很困难。我想问你最近是否尝试过协议 11，如果是，你是否因此感到更加痛苦。
192,192,女性,40-69,悲伤,您最近是否尝试过协议11，并发现由于旧事件而重新点燃了无法控制的情绪？,谢谢你，也许协议 11 可以帮助你处理这个事件，但是在我推荐它之前，我想确保你过去没有遇到过糟糕的经历。你是否已经尝试过协议 11，如果是，它是否激起了困难或创伤性的情绪？
193,193,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您如此乐于助人和耐心。如果您不介意，我还有几个问题可以帮助我进一步了解情况。
197,197,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，我很感激。我将尝试通过问你更多问题来深入了解这个问题。
198,198,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我感谢你的努力，尽管这对你来说一定很艰难。我现在有一些问题可以帮助您了解您的情况。
200,200,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我与您的情绪保持一致，我们将了解如何克服它。我想再问你一些问题，以更好地理解你为什么会有这种感觉。
202,202,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一切，我想这一定很困难。我想通过更多的问题更好地了解您正在经历的事情。
203,203,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你与我分享这一点，我能体会到这种感觉。我只需要问几个问题就可以更好地了解您现在正在处理的问题。
205,205,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我知道你情绪低落，我很抱歉听到它。我们通过几个问题来研究一些可能会帮助您感觉更好的方法如何。
206,206,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，希望我们能更好地了解您最近的困难。如果可以的话，我今天还有几个问题要问你。
207,207,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你让我知道，我很感激。我现在想做的是问几个关于正在发生的事情的问题，这样我就可以更好地了解正在发生的事情。
213,213,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我很感激你与我分享这个。如果您觉得合适，我希望您现在提供更多信息给我。
214,214,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,很抱歉听到你的麻烦。我现在要问一些问题，以了解您的情况。
221,221,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您如此开放，我知道这有多难。我还有几个问题要尝试更好地了解您所处的位置以及如何提供帮助。
222,222,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,我理解你很伤心，在这种复杂的情况下这是完全有道理的。我现在有几个问题要问您，以帮助我了解正在发生的事情。
225,225,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你跟我说话。想请教您一些问题，以便更好地了解您的情况。
226,226,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您分享这个。现在我想更好地了解你的情况，所以我会问你一些问题，如果可以的话。
233,233,男性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢你，很抱歉你现在正在挣扎并想提供帮助。让我们继续讨论下一个问题，并尝试解决这种情况。
234,234,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,非常感谢你。我现在想通过问你一些额外的问题来更深入地了解你的困境。
235,235,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,很抱歉让您受到伤害，在我尝试进一步调查时请耐心等待。我想再问你一些问题，这样我才能更好地了解情况。
236,236,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享这一点，我想以某种方式帮助您。现在我会问一些问题以了解您的情况。
238,238,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您与我分享您的感受，感谢您的信任。如果您不介意，我现在将问您几个问题以更好地了解情况。
239,239,女性,18-39,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢分享，很抱歉你正在经历这个。我只想再问一些问题，以便更好地了解您现在的感受。
241,241,男性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,谢谢，感谢您与我分享，我知道这可能很困难。我想再问几个问题，以便更好地了解您的情况。
242,242,女性,40-69,悲伤,谢谢。现在我会问一些问题以了解您的情况。,感谢您对我敞开心扉，我理解这可能很困难，我感谢您的诚实。我想再问你几个问题，以便我可以更好地帮助你，如果你没问题的话。
243,243,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我知道这可能很困难，但如果您能与我分享这一点，我会非常感激。请问您是否对某人表达或感受到了以下强烈的情绪：
245,245,男性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢，感谢您的耐心等待。您是否会说您对某人有强烈的感受或表达过以下任何一种情绪：
266,266,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我很感谢你分享的感受。请问您是否有过以下感受：
269,269,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,困难的情况会使我们的情绪感到紧张。您是否有任何这些强烈的感受和/或您向另一个人表达过它们：
271,271,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我将向您展示一系列不健康的情绪，但有时会向他人感受或表达这些不健康的情绪。如果您对生活中的人经历过以下任何一种情绪，请告诉我：
286,286,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我与你的情绪保持一致，我们会理解克服它。您是否对某人有强烈的感受或表达过以下任何一种情绪：
288,288,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢你，我想让你知道，如果我们能够理解它们并向它们学习，即使是负面情绪也可以帮助我们成长。您最近是否对您认识的任何人经历过以下任何情绪：
289,289,女性,18-39,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,谢谢你对我的信任，我现在想知道你最近在处理什么样的情绪。你能告诉我你是否有过以下任何一种情绪：
290,290,男性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我们有时可能会经历一些我们可能会羞于承认的困难情绪，但它们是完全正常的，我们识别并处理它们很重要。你能告诉我你是否感受到或表达了以下任何一种情绪：
292,292,女性,40-69,悲伤,您是否对某人有强烈的感受或表达以下任何情绪：,我想问你关于你可能感受到的负面情绪；有时感觉到它们是完全正常的，但重要的是我们在它们接管我们的生活之前学会识别它们。回想一下您最近的过去，您是否有时对某人有以下任何情绪：
309,309,男性,18-39,悲伤,您认为您应该成为别人的救星吗？,我想更好地理解为什么你现在正在经历这种消极的感觉。你觉得你需要拯救别人吗？
321,321,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,忠诚和乐于助人总是美好的美德，但是，如果我们开始忘记自己的幸福，它们就会变得不健康。您认为专注于帮助他人比成长和专注于自己更重要吗？
330,330,女性,18-39,悲伤,您认为您应该成为别人的救星吗？,感谢您迄今为止的合作。请问您是否觉得有必要将生活中的其他人从他们自己的问题中解救出来？
335,335,女性,40-69,悲伤,您认为您应该成为别人的救星吗？,我想了解一下您如何看待自己在社交圈中的角色。你是否经常觉得救人是你的工作，或者别人希望你这样？
338,338,男性,40-69,悲伤,您认为您应该成为别人的救星吗？,在回答以下问题之前，请尝试仔细考虑您最近的过去。最近，您是否觉得自己有责任拯救周围的人，以牺牲自己为代价来帮助他们克服问题？
351,351,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,你是否认为，也许，你没有对自己的感受承担全部责任，这导致你对他人进行猛烈抨击？
361,361,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,明白了，谢谢，那我再深入研究一下。在这种令人遗憾的情况下，您是否觉得自己是受害者？
365,365,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,谢谢你，让我们再回想一下你的这种感觉。你会说你是一个受害者，你会因为你的感受而责怪别人吗？
370,370,男性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我想知道你是否感到被周围的人理解或对抗；这对我能够帮助你很重要。你认为你周围的人理解你还是他们实际上是问题的一部分？
378,378,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,非常感谢您的回答。我现在想问你，你是否认为自己是这种情况的受害者，而你的痛苦感觉应该归咎于其他人。
380,380,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,感谢您分享这个。你能告诉我你是否认为自己是受害者，把你的负面情绪归咎于别人吗？
382,382,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我明白。在这种情况下，其他人是否是问题所在，也许是您亲近的人对待您的方式？
383,383,女性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,没关系，谢谢你让我知道。有没有人因为你的悲伤而特别责备谁？
384,384,女性,18-39,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,我同情你现在所经历的悲伤。我想知道，在你的生活中，有没有人让你觉得应该为你的悲伤负责？
386,386,男性,40-69,悲伤,您是否将自己视为受害者，将自己的负面情绪归咎于他人？,感谢您的回答，让我们看看是否还有其他事情困扰着您。你觉得最近有人虐待你或伤害你吗？
409,409,男性,40-69,悲伤,您觉得您在试图控制某人吗？,谢谢你的回复，很有帮助。试着从外面看自己，你是否觉得你在控制或试图控制别人的行为？
413,413,男性,18-39,悲伤,您觉得您在试图控制某人吗？,在回答下一个问题之前，请尝试深入了解您与他人的关系。你觉得你在试图控制某人吗？
417,417,女性,18-39,悲伤,您觉得您在试图控制某人吗？,当涉及情绪时，总是很难保持客观，但如果可以的话，我希望你尝试一下。你是否觉得你总是更关注别人在生活中所做的事情，而不是你在生活中所做的事情？
425,425,女性,40-69,悲伤,您觉得您在试图控制某人吗？,再次感谢，这对我的理解很有帮助。可能是你试图控制或操纵别人做你想让他们做的事情？
426,426,女性,18-39,悲伤,您觉得您在试图控制某人吗？,谢谢你。你会说，也许你正试图控制别人，让他们做你想让他们做的事，或者说你想听的话？
428,428,女性,40-69,悲伤,您觉得您在试图控制某人吗？,下面的问题可能感觉有点直接，但请尽量诚实地回答。你会说你现在觉得有必要控制某人或某事吗？
429,429,女性,40-69,悲伤,您觉得您在试图控制某人吗？,我明白了，也许你的悲伤可能是因为无法从别人那里得到你需要或期望的东西。可能是您试图控制某人但无法控制，这让您感到沮丧？
431,431,女性,18-39,悲伤,您觉得您在试图控制某人吗？,你的悲伤会导致你对某人变得操纵吗？是否可能是您试图让某人做或说某事以让自己感觉更好？
433,433,男性,40-69,悲伤,您觉得您在试图控制某人吗？,谢谢你的回答，我一直在这里理解和帮助你，从不评判。你有没有可能试图掌控别人的生活？
448,448,男性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,偶尔为我们的问题责备自己是正常的，但我们应该小心不要把它变成一种破坏性的习惯。你有没有注意到你总是为任何出错的事情责备自己？
473,473,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,我明白了，谢谢你花时间回答这个问题。请问您是否觉得自己有一种总是将问题归咎于自己的倾向？
475,475,男性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,感谢您分享这个。你能告诉我你是否觉得当事情出错时你总是在责备和指责自己吗？
479,479,女性,40-69,悲伤,当出现问题时，您是否总是责怪和指责自己？,谢谢你让我知道。你会不会说你很容易自责，经常因为出了问题而责备自己？
480,480,女性,18-39,悲伤,当出现问题时，您是否总是责怪和指责自己？,嗯，我明白了，谢谢你花时间回答所有这些问题，我仍在努力找出最好的帮助方式。你会说当出现问题时，你有把矛头指向自己的倾向吗？
504,504,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,谢谢你让我知道。您是否相信您已经探索了所有选项，包括其他人可能向您建议的选项？
521,521,女性,18-39,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,感谢您的信任，请帮助我更好地理解。你是说，在之前的谈话中，你一直愿意听取别人的看法和意见吗？
529,529,男性,40-69,悲伤,在之前的对话中，您是否考虑过其他提出的观点？,有时，只要我们能够倾听，其他人也许能够帮助我们弄清楚情况并变得更强大。你认为自己是一个好的倾听者吗？
552,552,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,很抱歉让您感到难过，为了帮助您，我想深入挖掘一下。如果你不介意我问一下，你正在经历一场艰难的个人危机吗？
569,569,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您到目前为止的回答。请问您现在是否觉得自己正在经历个人危机，或者您是否正在与周围的人遇到难以处理的人际关系困难？
570,570,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,谢谢你。我想知道您是否因为与朋友或家人的问题而正在经历特别困难的时刻。
571,571,男性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您的耐心等待，我真的很感激。你能告诉我，你是否觉得在你生命中的这一刻正在经历个人危机，在工作或家庭中遇到严重的困难？
573,573,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,感谢您如此耐心和合作。如果你不介意，我希望你告诉我你是否觉得你此刻正在挣扎。
574,574,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我知道这可能很艰难，所以感谢您如此耐心地回答所有问题。您最近是否经历过强烈的情绪压力，或者您是否感到被朋友或亲人误解？
575,575,女性,40-69,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,我想知道你的悲伤是否可以在更广泛的问题上解决。您在生活中是否遇到任何重大问题，例如，您是否与所爱的人闹翻了？
577,577,女性,18-39,悲伤,您是否正在经历个人危机（与亲人相处有困难，例如与朋友闹翻）？,您是否会将您生命中的这一刻描述为一个紧张而复杂的时刻，您、您的人际关系和情感都受到了强烈挑战？
583,583,女性,40-69,愤怒,这是由特别事件引起的吗？,谢谢你，我知道你现在很不高兴，但如果你能告诉我更多，我将非常感激。是否有特定事件引起了您的愤怒？
587,587,男性,18-39,愤怒,这是由特别事件引起的吗？,我很遗憾听到它，这是我们所有人有时都会经历的事情。你能告诉我这些感觉是否来自特定的事件？
591,591,男性,18-39,愤怒,这是由特别事件引起的吗？,我很遗憾听到。在您的脑海中是否有让您有这种感觉的特定事件？
597,597,男性,40-69,愤怒,这是由特别事件引起的吗？,很抱歉你有这种感觉，我想知道更多关于发生的事情。这是由特定事件引起的吗？
598,598,男性,40-69,愤怒,这是由特别事件引起的吗？,哦，我很遗憾听到它，我想更多地了解是什么让你有这种感觉。是因为某个特定的事件吗？
607,607,男性,40-69,愤怒,这是由特别事件引起的吗？,我明白了，谢谢你和我分享你的感受，我想知道更多发生的事情。这是由特定原因引起的吗？
612,612,女性,40-69,愤怒,这是由特别事件引起的吗？,我理解，我很抱歉你有这种感觉。这是由特定事件引起的吗？
613,613,男性,18-39,愤怒,这是由特别事件引起的吗？,你一定很难有这种感觉。这是由特定的东西触发的吗？
615,615,男性,18-39,愤怒,这是由特别事件引起的吗？,我很抱歉。有什么特别让你有这种感觉的吗？
616,616,女性,40-69,愤怒,这是由特别事件引起的吗？,谢谢，如果您能详细说明一下您感到如此生气的原因，我将不胜感激。是特定事件造成的吗？
618,618,女性,18-39,愤怒,这是由特别事件引起的吗？,有这种感觉没关系。请问这是否是由特定事件引起的？
621,621,女性,18-39,愤怒,这是由特别事件引起的吗？,感谢您与我分享您的感受，尽管现在对您来说可能很困难。你认为你的感觉可能是由某些特定的事情引起的吗？
623,623,男性,40-69,愤怒,这是由特别事件引起的吗？,哦，那不好。是不是有什么东西触发了这种感觉？
624,624,女性,40-69,愤怒,这是由特别事件引起的吗？,谢谢你，我明白现在处理这种感觉有多难，希望我能帮助你感觉更好。你能告诉我是否有特定的事件让你有这种感觉吗？
633,633,女性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,感谢您的意见，很抱歉您必须处理这个问题。你能告诉我这是由最近还是遥远的事情引起的吗？
639,639,女性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,我很抱歉听到这个。这是最近发生的，还是前一段时间发生的？
653,653,男性,18-39,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,我完全理解你为什么会有这种感觉。为了帮助您，我需要知道这是最近发生的还是前一段时间发生的。
656,656,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢你的回复，我真的很想帮忙。你能告诉我这是由最近的事件还是由遥远的事件引起的吗？
664,664,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,谢谢你的回答，我可以联系。你会说这件事或让你感到愤怒的事件发生在最近或遥远的过去吗？
667,667,男性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,很抱歉听到这个。请问这是最近还是以前发生的事件导致了这种情况？
668,668,女性,40-69,愤怒,这是由最近或遥远的事件（或多个事件）引起的吗？,我明白了，谢谢你告诉我。请问，这件事引起你的愤怒是遥远的还是最近的？
669,669,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,如果你能和我分享以下信息，那对我会有很大帮助。您最近是否尝试过协议 6，如果是这样，是否让您感到难以管理情绪？
674,674,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我知道有时回想过去会让人不舒服。你有没有试过通过协议 6 工作？如果是这样，您是否感到无法处理出现的情绪？
676,676,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,这真的很有帮助，谢谢。据您所知，执行协议 6 是否让您感到生气或不安？
691,691,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,协议 6 是难度更大的练习之一，并不适合所有情况；我正在尝试确定它是否适合您。您是否尝试过协议 6 并发现它太难了？
699,699,男性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,明白了，非常感谢分享。最近对协议 6 的尝试是否导致过去的情绪爆发？
704,704,女性,18-39,愤怒,您最近是否尝试过协议6，并发现由于旧事件而重新点燃了无法控制的情绪？,我理解并且很抱歉发生这种情况。您最近是否尝试过协议 6 并发现由于旧事件而重新点燃了无法控制的情绪？
